Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
AVUBIC,2004,0.893,0.528,454.08,0.481,4.06,4.9,1.207,1D,[0.8-1.0),[0.5-0.6),[400-500),[0.4-0.5),[4.0-4.5),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AVUBIC
OJOTAI01,2004,0.805,0.589,1547.81,0.666,4.08,6.28,1.539,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[6.0-6.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OJOTAI01
ASEPOD,2004,1.031,0.404,620.51,0.327,4.08,5.03,1.233,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ASEPOD
ERIGER,2004,1.325,0.305,350.51,0.189,4.18,6.98,1.67,1D,[1.3-1.4),[0.3-0.4),[300-400),[0.1-0.2),[4.0-4.5),[6.5-7.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ERIGER
AXEWAB,2004,1.222,0.219,291.77,0.14,4.19,5.18,1.236,1D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AXEWAB
ILIFOY,2004,1.778,0.298,234.73,0.147,4.28,5.41,1.264,1D,[1.6-1.8),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ILIFOY
AQIREX,2004,1.167,0.232,322.66,0.147,4.29,5.88,1.371,1D,[1.1-1.2),[0.2-0.3),[300-400),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AQIREX
IPULIO,2004,0.873,0.504,1081.59,0.482,4.3,4.77,1.109,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.4-0.5),[4.0-4.5),[4.6-4.8),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IPULIO
IREGUH,2004,1.595,0.241,266.64,0.131,4.35,6.25,1.437,1D,[1.5-1.6),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[6.0-6.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IREGUH
AMAPUZ,2004,0.94,0.458,721.39,0.421,4.35,5.37,1.234,1D,[0.8-1.0),[0.4-0.5),[600-800),[0.4-0.5),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AMAPUZ
ULAYEL,2004,0.976,0.597,1131.89,0.578,4.4,5.71,1.298,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[4.0-4.5),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ULAYEL
IREGOB,2004,1.623,0.251,269.04,0.133,4.42,6.15,1.391,1D,[1.6-1.8),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[6.0-6.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IREGOB
BAZBIO,2004,1.008,0.556,857.55,0.443,4.51,5.85,1.297,1D,[1.0-1.1),[0.5-0.6),[800-1000),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BAZBIO
HUWHOW01,2004,1.134,0.414,633.9,0.353,4.56,4.97,1.09,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[4.5-5.0),[4.8-5.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HUWHOW01
AXILEY,2004,0.654,0.695,2738.69,0.911,4.63,7.27,1.57,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.5-5.0),[7.0-8.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AXILEY
BAZBOU,2004,0.988,0.559,920.79,0.462,4.65,5.96,1.282,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BAZBOU
AVAPIW,2004,1.123,0.351,668.04,0.25,4.66,6.69,1.436,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[4.5-5.0),[6.5-7.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AVAPIW
EVONOS,2004,1.328,0.482,430.87,0.278,4.68,5.09,1.088,1D,[1.3-1.4),[0.4-0.5),[400-500),[0.2-0.3),[4.5-5.0),[5.0-5.3),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EVONOS
OBEZAX,2004,0.667,0.639,2342.98,0.849,4.69,7.22,1.539,3D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.5-5.0),[7.0-8.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OBEZAX
ELESET,2004,0.825,0.589,1612.43,0.597,4.79,6.78,1.415,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[4.5-5.0),[6.5-7.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ELESET
EMUFAT,2004,1.066,0.331,353.33,0.233,4.91,5.85,1.191,1D,[1.0-1.1),[0.3-0.4),[300-400),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EMUFAT
VATCAV,2004,1.081,0.513,828.5,0.37,4.94,5.82,1.178,1D,[1.0-1.1),[0.5-0.6),[800-1000),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VATCAV
SAGHOY,2004,0.882,0.479,1763.87,0.493,5.04,6.38,1.266,1D,[0.8-1.0),[0.4-0.5),[1500-2000),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAGHOY
AQEQES,2004,1.075,0.558,1066.15,0.458,5.12,5.58,1.09,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[5.3-5.6),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AQEQES
BEXQIF,2004,0.684,0.619,2585.34,0.938,5.12,7.88,1.539,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXQIF
BEXQOL,2004,0.699,0.621,2522.94,0.922,5.13,7.9,1.54,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXQOL
BEXQUR,2004,0.705,0.625,2500.04,0.911,5.16,7.95,1.541,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXQUR
OLUCON,2004,1.023,0.603,1151.71,0.521,5.24,5.99,1.143,1D,[1.0-1.1),[0.6-0.7),[1000-1250),[0.5-0.6),[5.0-6.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OLUCON
BEXREC,2004,0.665,0.644,2877.62,1.005,5.26,7.96,1.513,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXREC
ASAFEF,2004,1.297,0.341,543.04,0.225,5.27,5.68,1.078,1D,[1.2-1.3),[0.3-0.4),[500-600),[0.2-0.3),[5.0-6.0),[5.6-6.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ASAFEF
ILALOW,2004,0.845,0.525,1496.19,0.552,5.37,6.88,1.281,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ILALOW
BEXRIG,2004,0.672,0.648,2839.38,0.992,5.37,7.98,1.486,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXRIG
WOQXOP01,2004,0.638,0.641,2573.75,0.94,5.39,7.09,1.315,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WOQXOP01
BEXRAY,2004,0.639,0.635,2932.76,1.044,5.43,7.93,1.46,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXRAY
ISEMEY,2004,1.21,0.353,654.27,0.254,5.43,6.41,1.18,1D,[1.2-1.3),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ISEMEY
IPUCUR,2004,1.131,0.525,828.85,0.35,5.46,7.09,1.299,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IPUCUR
SABNIT01,2004,0.718,0.622,2771.14,0.809,5.49,7.33,1.335,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SABNIT01
EVAXOO,2004,0.893,0.553,1306.8,0.524,5.6,6.53,1.166,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[5.0-6.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EVAXOO
ASIVAZ,2004,1.071,0.305,589.79,0.24,5.66,7.34,1.297,3D,[1.0-1.1),[0.3-0.4),[500-600),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ASIVAZ
ARICOT,2004,0.885,0.605,1983.99,0.619,5.73,8.17,1.426,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[8.0-10.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ARICOT
AQASUG,2004,1.17,0.356,478.92,0.221,5.74,6.19,1.078,1D,[1.1-1.2),[0.3-0.4),[400-500),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AQASUG
AROTUW,2004,0.954,0.628,2029.36,0.645,5.83,6.66,1.142,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AROTUW
BEVYUX,2004,1.129,0.318,564.36,0.225,5.85,7.31,1.25,1D,[1.1-1.2),[0.3-0.4),[500-600),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEVYUX
BEVZAE,2004,1.117,0.321,587.24,0.228,6.03,7.53,1.249,1D,[1.1-1.2),[0.3-0.4),[500-600),[0.2-0.3),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEVZAE
BEBBAM,2004,0.486,0.697,4505.99,1.364,6.18,7.21,1.167,1D,[0.0-0.6),[0.6-0.7),[3000-10250],[1.0-1.5),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEBBAM
SABVUN,2004,0.955,0.656,1330.24,0.511,6.36,6.86,1.079,1D,[0.8-1.0),[0.6-0.7),[1250-1500),[0.5-0.6),[6.0-8.0),[6.5-7.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SABVUN
AZEXIM,2004,0.924,0.584,1745.25,0.581,6.48,8.64,1.333,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AZEXIM
INATOG,2004,0.811,0.67,2515.18,0.789,6.56,7.28,1.11,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=INATOG
OLUCED,2004,0.759,0.715,2561.64,0.872,6.57,7.16,1.09,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OLUCED
ESETUR,2004,0.91,0.644,1875.03,0.618,6.74,7.62,1.131,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ESETUR
ATOMAX,2004,0.645,0.724,2955.62,1.094,6.87,8.14,1.185,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ATOMAX
ILAFOQ,2004,0.698,0.466,2033.97,0.681,6.89,7.88,1.144,1D,[0.6-0.8),[0.4-0.5),[2000-3000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ILAFOQ
AXAFIO,2004,0.726,0.729,3096.36,1.021,6.9,9.4,1.362,3D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AXAFIO
ATUQUB,2004,0.829,0.593,1838.15,0.651,7.22,8.17,1.132,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ATUQUB
AWELIX,2004,0.902,0.516,1647.18,0.542,7.23,7.73,1.069,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AWELIX
ATEVOK,2004,0.674,0.643,2298.52,0.85,7.26,8.47,1.167,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ATEVOK
ATISUR,2004,0.538,0.597,2833.3,1.007,7.38,9.91,1.343,2D,[0.0-0.6),[0.5-0.6),[2000-3000),[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ATISUR
EQOYIS,2004,0.53,0.78,4028.35,1.392,7.46,8.48,1.137,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EQOYIS
BEHMAD01,2004,1.248,0.557,1152.17,0.41,7.47,8.9,1.191,1D,[1.2-1.3),[0.5-0.6),[1000-1250),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEHMAD01
OLESIH,2004,0.68,0.736,3189.65,1.102,7.63,8.27,1.084,1D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OLESIH
ULUREY,2004,0.786,0.567,1887.74,0.713,7.71,8.81,1.143,2D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ULUREY
EWAZEH,2004,1.246,0.595,1107.12,0.415,7.76,8.65,1.115,1D,[1.2-1.3),[0.5-0.6),[1000-1250),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EWAZEH
EQOXEN,2004,0.91,0.44,1032.13,0.401,7.77,9.26,1.192,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EQOXEN
AYUYEY,2004,0.911,0.559,1653.21,0.565,7.89,8.67,1.099,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AYUYEY
IZOTEW,2004,0.707,0.608,2101.39,0.819,7.92,8.87,1.12,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IZOTEW
EQOJUP,2004,0.593,0.78,3641.78,1.324,7.94,8.49,1.069,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EQOJUP
AKURIH01,2004,0.667,0.676,2839.29,0.918,7.99,8.86,1.109,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AKURIH01
IWAKOG,2004,0.778,0.759,2636.96,0.918,8.14,9.44,1.16,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IWAKOG
AVUZAS,2004,0.578,0.706,2908.89,1.157,8.67,9.19,1.06,1D,[0.0-0.6),[0.7-0.8),[2000-3000),[1.0-1.5),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AVUZAS
EKUGOG,2004,0.86,0.589,1161.74,0.625,9.14,9.78,1.07,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EKUGOG
VASCAU,2004,0.661,0.697,2220.52,1.094,10.25,11.11,1.084,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[1.0-1.5),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASCAU
AXOHIE,2004,0.645,0.725,2523.98,0.998,10.59,12.59,1.189,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AXOHIE
ESOZUH,2004,0.628,0.706,2423.06,1.084,10.75,11.84,1.101,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ESOZUH
ESOYUG,2004,0.937,0.536,1026.13,0.55,10.86,11.17,1.029,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ESOYUG
ILEXUS,2004,0.761,0.567,1371.54,0.691,11.24,11.76,1.046,1D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ILEXUS
AZEZAG,2004,0.406,0.826,4128.87,1.97,12.18,20.05,1.646,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AZEZAG
YADSOM,2004,0.303,0.873,5034.44,2.771,12.37,15.46,1.25,2D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YADSOM
AXANAO,2004,1.422,0.536,654.44,0.385,12.68,13.02,1.027,1D,[1.4-1.5),[0.5-0.6),[600-800),[0.3-0.4),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AXANAO
DAQRET,2005,2.312,0.128,12.56,0.046,0.75,4.24,5.653,NON-POROUS,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAQRET
TANCIV,2005,1.574,0.11,27.11,0.039,0.8,4.52,5.65,NON-POROUS,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TANCIV
KAPFUD,2005,1.513,0.08,16.88,0.031,0.85,4.81,5.659,NON-POROUS,[1.5-1.6),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAPFUD
KAPFOX,2005,1.482,0.08,18.7,0.033,0.86,4.87,5.663,NON-POROUS,[1.4-1.5),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAPFOX
DAQTUL,2005,1.34,0.147,114.16,0.078,0.93,5.27,5.667,NON-POROUS,[1.3-1.4),[0.1-0.2),[100-150),[0.0-0.1),[0.7-1.4),[5.0-5.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAQTUL
LAPGIT,2005,1.258,0.124,60.33,0.062,0.93,5.23,5.624,NON-POROUS,[1.2-1.3),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAPGIT
FARGOV,2005,1.749,0.073,0.06,0.018,0.99,3.96,4,NON-POROUS,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FARGOV
PATBES,2005,1.312,0.165,3.9,0.08,1.04,4.16,4,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PATBES
GARTAV,2005,1.286,0.1,7.83,0.054,1.06,4.22,3.981,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GARTAV
DAPVOG,2005,1.257,0.106,14.04,0.059,1.08,4.32,4,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAPVOG
YAJGOG,2005,1.566,0.102,32.75,0.054,1.08,4.34,4.019,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAJGOG
TAQJEB,2005,1.357,0.167,23.45,0.088,1.09,4.36,4,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAQJEB
RAMDOZ,2005,1.513,0.174,33.44,0.083,1.11,4.43,3.991,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAMDOZ
FIJRAS,2005,2.223,0.166,37.11,0.06,1.17,4.66,3.983,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FIJRAS
PAMBEL,2005,1.604,0.111,31.16,0.054,1.22,4.87,3.992,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAMBEL
RAVMOR,2005,1.394,0.15,56.58,0.065,1.22,4.9,4.016,3D,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVMOR
SAQHOI,2005,1.443,0.155,0.29,0.067,1.23,4.02,3.268,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQHOI
PAPNUQ,2005,1.189,0.214,187.18,0.138,1.23,4.93,4.008,2D,[1.1-1.2),[0.2-0.3),[150-200),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAPNUQ
FEFVES,2005,1.272,0.175,0.46,0.086,1.25,4.08,3.264,2D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEFVES
FAKLIN,2005,1.664,0.15,4.09,0.074,1.27,4.16,3.276,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAKLIN
QAMKEV,2005,1.332,0.096,0.68,0.047,1.27,4.15,3.268,1D,[1.3-1.4),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAMKEV
