Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
UBACUX,1.228,0.400368,537.76,0.275,2.96,6.84,2.310810811,1D
UBALIU,1.57,0.197995,56.7,0.082,2.16,4.62,2.138888889,2D
UBAMAN,2.091,0.110129,6.9,0.037,1.08,4.31,3.990740741,3D
UBEVOM,0.426,0.601528,4383.03,1.353,6.05,7.85,1.297520661,1D
UBEYOP,0.581,0.722613,4102.36,1.191,6.46,7.79,1.205882353,1D
UBIPAY,1.279,0.292547,0.07,0.171,3.4,4.01,1.179411765,1D
UBORIM,1.279,0.308542,165.17,0.187,3.7,4.69,1.267567568,1D
UBOSEJ,1.527,0.249643,122.61,0.114,3.54,5.16,1.457627119,1D
UBOWAM,0.614,0.587316,1496.45,0.854,11.85,12.45,1.050632911,1D
UBUTES,1.173,0.292735,29.85,0.184,1.32,4.3,3.257575758,3D
UBUTOC,0.954,0.504477,913,0.442,4.98,5.63,1.130522088,1D
UBUTUI,0.899,0.510633,996.82,0.47,5.07,5.62,1.108481262,1D
UCABAE,1.095,0.447712,476.55,0.295,3.87,5.16,1.333333333,1D
UCABOR01,1.378,0.561954,1126.24,0.394,5.76,6.66,1.15625,1D
UCABOR,1.385,0.559312,1123.45,0.386,5.63,6.64,1.179396092,1D
UCADOU,1.312,0.232723,136.06,0.138,2.85,5.1,1.789473684,1D
UCAKAM,1.237,0.269129,54.25,0.159,1.61,4.55,2.826086957,1D
UCEDEM,1.406,0.205238,38.15,0.111,1.33,4.36,3.278195489,1D
UCEROL01,1.45,0.177842,92.65,0.099,1.17,4.66,3.982905983,3D
UCETIH01,1.478,0.16691,71.36,0.086,1.14,4.56,4,1D
UCETIH02,1.469,0.168214,70.13,0.088,1.13,4.53,4.008849558,1D
UCEXAC,1.664,0.243434,129.48,0.118,1.55,5.05,3.258064516,2D
UCEXIK,1.691,0.240952,134.59,0.113,1.53,5,3.267973856,2D
UCEYOT,0.659,0.643696,1667.22,0.913,3.6,5.26,1.461111111,1D
UCIBAK,1.117,0.650638,1454.64,0.572,10.39,10.92,1.051010587,1D
UCIBUF,1.108,0.393332,740.01,0.295,4.64,5.94,1.280172414,1D
UCICAM,1.099,0.384675,708.41,0.294,4.21,5.87,1.394299287,1D
UCIZOY,1.134,0.344154,304.56,0.247,3.54,5.01,1.415254237,1D
UCODAS,2.059,0.155306,23.11,0.065,1.55,4.37,2.819354839,1D
UCOHOJ,1.247,0.2408,53.47,0.127,1.34,4.39,3.276119403,3D
UCOHUP,1.177,0.302302,269.21,0.203,1.83,5.17,2.825136612,1D
UCOJED,1.227,0.602986,972.87,0.438,6.74,7.62,1.130563798,1D
UCOMUX,0.802,0.53107,750.01,0.633,18.75,19.23,1.0256,1D
UCOPUZ,0.687,0.60631,2230.19,0.885,4.13,5.51,1.334140436,3D
UCOQAG,0.643,0.607607,2340.87,0.943,4.08,5.6,1.37254902,3D
UCOQEK,0.636,0.607293,2387.7,0.955,4.08,5.59,1.370098039,3D
UCOQIO,0.629,0.605245,2409.38,0.976,4.05,5.55,1.37037037,3D
UCOTAK,1.317,0.187347,51.15,0.093,1.15,4.62,4.017391304,3D
UCOXIT,1.044,0.496441,681.24,0.37,5.92,7.22,1.219594595,1D
UCOXOZ,1.056,0.470421,585.17,0.354,5.65,6.45,1.14159292,1D
UCUJIO,1.725,0.325596,395.73,0.153,6.63,7.91,1.19306184,1D
UCUJUY,1.349,0.225463,18.41,0.144,1.84,4.26,2.315217391,2D
UCULIO,1.664,0.073545,6.85,0.024,2.37,4.24,1.789029536,1D
UCULOU,1.433,0.192356,15.24,0.103,3.15,4.21,1.336507937,1D
UCUPIR,1.311,0.257159,19.81,0.165,2.02,4.32,2.138613861,1D
UCUYIA,0.946,0.396342,191.56,0.334,2.61,4.45,1.704980843,1D
UDAFOX,0.951,0.513365,605.03,0.398,4.24,5.73,1.351415094,2D
UDAVAY,1.301,0.153811,45.3,0.096,1.78,4.51,2.533707865,1D
UDAVIG,1.277,0.157628,32.64,0.093,1.66,4.68,2.819277108,1D
UDAVUR,3.718,0.164995,24.73,0.043,3.51,4.82,1.373219373,1D
UDEGIW,1.26,0.442329,179.11,0.239,2.08,4.8,2.307692308,2D
UDEPIE,1.776,0.459227,453.69,0.213,2.51,6.05,2.410358566,3D
UDERAX,1.334,0.187753,18.05,0.108,2.44,4.37,1.790983607,1D
UDERIF,1.046,0.477004,436.11,0.381,4.37,4.94,1.130434783,1D
UDETIH,1.425,0.17414,6.73,0.084,3.46,4.17,1.205202312,1D
UDETON,1.082,0.404744,464.86,0.311,3.65,5,1.369863014,1D
UDEWAE,1.356,0.244117,70.52,0.141,1.59,4.5,2.830188679,3D
UDEWEI,1.508,0.243461,64.82,0.126,1.58,4.47,2.829113924,1D
UDIBAM,0.823,0.613521,2359.81,0.665,5.66,7.88,1.392226148,1D
UDIRAB,1.324,0.285073,171.94,0.16,3.09,4.68,1.514563107,1D
UDIREF,0.902,0.568956,1446.78,0.532,5.1,6.62,1.298039216,1D
UDIRIJ,0.679,0.717917,2393.63,0.931,7.78,10.1,1.298200514,1D
UDIRUV,1.395,0.282179,106.05,0.142,1.29,5.15,3.992248062,2D
UDITIM,1.251,0.363893,247.74,0.226,3.62,4.7,1.298342541,1D
UDOKEE,1.928,0.356568,403.37,0.212,3.78,7.82,2.068783069,1D
UDOVUG,1.165,0.559831,878.81,0.409,6.09,6.69,1.098522167,1D
UDUGEH,1.717,0.18987,15.77,0.092,1.82,4.19,2.302197802,2D
UDUHAE,1.698,0.180093,5.99,0.09,1.62,4.1,2.530864198,2D
UDUJIO,1.786,0.203121,0.07,0.09,1.87,4,2.139037433,2D
UDUJOU,1.799,0.209229,26.13,0.095,1.72,4.35,2.529069767,2D
UDUJUA,1.745,0.192791,16.46,0.095,1.48,4.2,2.837837838,2D
UDUKAH,1.785,0.194466,16.99,0.097,1.51,4.26,2.821192053,2D
UDUKEL,1.691,0.20232,22.34,0.104,2,4.29,2.145,2D
UDUKIP,1.782,0.202872,19.45,0.094,1.87,4.33,2.315508021,2D
UDUKOV,1.727,0.193774,7.1,0.094,1.91,4.09,2.141361257,2D
UDUKUB,1.79,0.181599,5.29,0.085,1.79,4.12,2.301675978,2D
UDULAI,1.653,0.192654,25.53,0.1,2.02,4.31,2.133663366,2D
UDULEM,1.707,0.186866,15.44,0.096,1.79,4.14,2.312849162,2D
UDULIQ,1.66,0.198878,20.13,0.102,1.98,4.23,2.136363636,2D
UDULOW,1.742,0.198877,19.66,0.097,1.51,4.28,2.834437086,2D
UDULUC,1.782,0.187462,12.9,0.09,1.66,4.19,2.524096386,2D
UDUNAI,1.573,0.222366,51.09,0.122,3.95,4.3,1.088607595,1D
UDUVIB,1.286,0.339829,142.39,0.293,3.1,4.69,1.512903226,1D
UDUYAU,1.331,0.215603,28.02,0.131,1.73,4.37,2.526011561,1D
UFAFAJ,1.308,0.129831,10.97,0.073,1.05,4.21,4.00952381,3D
UFANIZ,1.413,0.17429,6.05,0.085,3.41,4.21,1.234604106,1D
UFAQEA,1.165,0.360481,674.41,0.262,6.66,7.06,1.06006006,1D
UFAQIE,1.199,0.450127,810.17,0.331,8.2,8.62,1.051219512,1D
UFAQOK,1.071,0.452215,928.79,0.371,8.19,8.64,1.054945055,1D
UFASIE,0.863,0.597381,1013.67,0.639,3.48,5.8,1.666666667,3D
UFASOK,1.139,0.347293,505.52,0.259,4.96,5.61,1.131048387,1D
UFATEA01,1.22,0.44971,296.73,0.284,3.97,5.29,1.332493703,1D
UFAVAZ,1.549,0.131019,3.04,0.067,3.5,4.23,1.208571429,1D
UFAVED,1.429,0.192997,1.95,0.109,3.28,4.15,1.265243902,1D
UFAYEF01,0.538,0.732028,4057.8,1.301,5.71,6.73,1.178633975,1D
UFAYEF02,0.537,0.742748,4182.07,1.319,4.34,6.94,1.599078341,1D
UFAYEF,0.537,0.733333,4006.84,1.315,4.41,7.2,1.632653061,1D
UFEMEY,1.148,0.184888,30.95,0.116,1.34,4.38,3.268656716,2D
UFESUW01,1.388,0.412008,48.38,0.254,3.23,4.31,1.334365325,1D
UFESUW02,1.446,0.407603,14.16,0.236,3.14,4.19,1.334394904,1D
UFESUW,1.466,0.404107,8.81,0.23,3.05,4.19,1.373770492,1D
UFEWAE,1.039,0.439865,514.36,0.319,1.43,5.71,3.993006993,1D
UFIBET,0.949,0.573797,1412.7,0.536,5.17,6.71,1.29787234,1D
UFIRIM,0.961,0.678536,1683.72,0.594,5.53,8.68,1.569620253,1D
UFITOT,1.152,0.399596,192.59,0.416,2.86,4.68,1.636363636,2D
UFIWIR,1.419,0.41151,659.9,0.334,4.36,5.26,1.206422018,2D
UFIWOX,1.458,0.412609,638.81,0.327,4.38,5.28,1.205479452,2D
UFOBAV,1.657,0.242215,25.66,0.141,3.37,4.62,1.370919881,3D
UFOBEZ01,1.709,0.22056,10.43,0.127,3.15,4.31,1.368253968,3D
UFOBEZ,1.718,0.212896,7.3,0.122,3.11,4.26,1.36977492,3D
UFOGEE,1.079,0.471218,200.69,0.331,3.88,4.48,1.154639175,1D
UFOLOT,1.509,0.155321,2.6,0.085,2.56,4.17,1.62890625,1D
UFOLUZ,1.474,0.139471,9.33,0.077,3.64,4.29,1.178571429,1D
UFOPEK,1.213,0.416175,710.11,0.288,6.02,6.95,1.15448505,1D
UFOPIO,1.401,0.14834,6.69,0.078,1.26,4.12,3.26984127,1D
UFOPOX,1.197,0.256302,100.47,0.164,2.96,4.84,1.635135135,1D
UFOQEO,0.791,0.63877,1800.83,0.69,8.55,8.87,1.037426901,1D
UFOQIS,0.8,0.653793,1813.35,0.68,8.35,8.62,1.032335329,1D
UFUROF,1.057,0.305563,293.91,0.212,4.26,4.56,1.070422535,1D
UGACAJ,1.296,0.260622,60.76,0.125,2.55,4.82,1.890196078,1D
UGADIQ,1.212,0.370225,343.38,0.24,2.87,5.94,2.069686411,1D
UGAHUG,1.809,0.221158,62.66,0.09,1.53,5,3.267973856,2D
UGALET,1.45,0.07697,14.48,0.037,0.82,4.65,5.670731707,NON-POROUS
UGALOD,1.45,0.088068,18.84,0.042,1.15,4.6,4,3D
UGANUM,1.324,0.214494,86.97,0.117,2.27,4.54,2,1D
UGAPEY,1.149,0.186691,38.15,0.118,1.36,4.44,3.264705882,2D
UGAPIC,1.122,0.195681,59.9,0.125,1.39,4.54,3.26618705,3D
UGAQEY,1.376,0.338139,122.46,0.196,3.4,4.67,1.373529412,1D
UGAZOT,1.25,0.270261,36.63,0.162,3.22,4.3,1.335403727,1D
UGEBEN,1.104,0.400016,288.43,0.297,3.7,4.8,1.297297297,2D
UGEMIE,1.02,0.35214,447.45,0.264,1.99,6.02,3.025125628,2D
UGENAV,1.17,0.348269,616.97,0.251,5.31,6.14,1.156308851,1D
UGENOJ,1.266,0.289593,380.51,0.182,3.81,6.49,1.703412073,1D
UGIDUL,0.959,0.553456,1098.08,0.51,4.71,5.95,1.263269639,1D
UGOFED,1.264,0.417821,240.91,0.247,3.64,4.61,1.266483516,1D
UGOPIR,1.308,0.17448,4.01,0.082,2.08,4.17,2.004807692,1D
UGOQIQ,1.686,0.068814,1.31,0.034,1.02,4.09,4.009803922,2D
UGORAJ,1.155,0.439744,589.89,0.312,3.71,5.25,1.41509434,1D
UGORAL,1.159,0.349704,359.9,0.229,3.82,4.96,1.298429319,1D
UGUFAD,1.189,0.199179,155.94,0.155,2.22,5.14,2.315315315,1D
UGUGUZ,2.064,0.176759,7.95,0.068,1.83,4.23,2.31147541,1D
UGUHEK,2.023,0.169933,8.42,0.071,1.84,4.25,2.309782609,1D
UGUJUC,0.836,0.609258,1164.78,0.685,4.53,5.66,1.249448124,1D
UGUWUO,1.313,0.353715,60.27,0.313,2.9,4.55,1.568965517,1D
UGUXID,1.507,0.347605,14.54,0.219,3.19,4.25,1.332288401,1D
UHADUE,1.122,0.278418,60.25,0.161,2.66,5.02,1.887218045,1D
UHAFEQ,1.132,0.279784,53.73,0.163,2.79,5,1.792114695,1D
UHAFOA,1.127,0.277824,55.77,0.164,2.49,4.98,2,1D
UHAFUE,1.184,0.311389,32.74,0.206,3.09,4.37,1.414239482,3D
UHAVOP,1.67,0.244848,0.1,0.121,1.91,4.08,2.136125654,2D
UHAXOS,3.332,0.201008,91.66,0.065,1.02,5.75,5.637254902,1D
UHAXUW,1.517,0.260478,126.01,0.143,2.95,4.82,1.633898305,1D
UHELAU,1.417,0.316562,214.63,0.193,3.34,5.69,1.703592814,1D
UHEXUB,1.253,0.385264,231.15,0.234,4.18,4.73,1.131578947,1D
UHISEK,1.892,0.236263,11.96,0.1,2.76,4.51,1.634057971,1D
UHIXEP,1.001,0.407024,277.37,0.307,2.74,4.68,1.708029197,1D
UHIXIT,1.032,0.376271,231.47,0.27,2.71,4.63,1.708487085,1D
UHIXOZ,0.911,0.491952,352.22,0.415,3.51,4.81,1.37037037,1D
UHIYAM,1.026,0.384615,238.72,0.273,2.75,4.69,1.705454545,1D
UHIYER,0.739,0.694811,3684.1,0.975,5.51,7.15,1.297640653,2D
UHIYIU,1.157,0.360979,19.48,0.233,2.67,4.19,1.56928839,1D
UHOCEA01,1.242,0.258748,8.02,0.168,1.51,4.28,2.834437086,3D
UHOCOK,1.188,0.270448,17.31,0.191,1.56,4.41,2.826923077,3D
UHOCUQ01,1.221,0.271656,15.76,0.178,1.55,4.38,2.825806452,3D
UHOCUQ,1.188,0.292579,56.3,0.203,1.55,4.39,2.832258065,3D
UHODEB,1.245,0.294578,91.77,0.2,1.76,4.45,2.528409091,1D
UHODUS,1.558,0.056827,0.48,0.017,1.28,4.17,3.2578125,2D
UHOHAC,1.111,0.27923,0.74,0.181,1.93,4.13,2.139896373,2D
UHOMEL,1.34,0.230134,251.06,0.119,4.79,5.65,1.17954071,1D
UHOSIV,1.37,0.442072,646.49,0.279,4.46,6.11,1.369955157,1D
UHOVAO,0.777,0.492037,1239.59,0.551,11.39,11.64,1.021949078,1D
UHOVES,0.9,0.412465,748.94,0.401,6.69,7.22,1.07922272,1D
UHUHEL,1.12,0.270936,6.93,0.161,2.56,4.18,1.6328125,1D
UHUHOV,1.268,0.199225,0.11,0.103,2.46,4.01,1.630081301,1D
UHUROF,1.304,0.170096,13.95,0.084,1.1,4.4,4,3D
UHUVOI,1.372,0.299858,98.35,0.142,1.19,4.78,4.016806723,1D
UHUVUO,1.454,0.180248,9.69,0.084,1.46,4.13,2.828767123,2D
UHUWAV,1.622,0.179927,50,0.09,2.15,4.59,2.134883721,1D
UHUWEZ,1.437,0.163565,4.1,0.078,1.04,4.18,4.019230769,3D
UJABAK,2.782,0.160576,10.1,0.052,3.52,4.45,1.264204545,1D
UJAQUS,1.408,0.167157,12.6,0.087,1.09,4.37,4.009174312,2D
UJATAB,1.686,0.212665,57.66,0.094,1.61,4.55,2.826086957,1D
UJATUV,1.764,0.145158,1.13,0.061,1.6,4.05,2.53125,1D
UJAVAD,1.793,0.145899,1.36,0.06,1.6,4.06,2.5375,2D
UJAZAG,0.79,0.594508,1631.84,0.725,9.88,10.52,1.064777328,1D
UJEDIX,1.535,0.299278,31.32,0.166,2.95,4.46,1.511864407,3D
UJEMUS,1.118,0.293759,96.77,0.198,2.13,4.56,2.14084507,1D
UJETUA01,2.091,0.10929,23.28,0.054,2.23,4.78,2.143497758,1D
UJETUA02,2.055,0.109709,23.71,0.057,2.28,4.86,2.131578947,1D
UJETUA,2.115,0.106796,21.34,0.053,2.21,4.72,2.135746606,1D
UJEVIQ,1.405,0.125763,22.67,0.042,1.45,4.75,3.275862069,2D
UJEVOW,1.553,0.154469,58.91,0.072,1.68,4.75,2.827380952,1D
UJEXAJ,1.121,0.358743,112.52,0.248,2.23,4.76,2.134529148,1D
UJIGEZ,1.175,0.426849,275.54,0.294,3.64,4.99,1.370879121,1D
UJOQIT,1.451,0.583302,1130.75,0.387,8.11,8.63,1.064118372,1D
UJOYUO,1.476,0.111637,11.5,0.048,1.85,4.27,2.308108108,1D
UJUBEG,2.158,0.343776,217.19,0.161,3.18,5.43,1.70754717,1D
UJUJOZ,1.394,0.244904,25.92,0.133,2.35,4.43,1.885106383,1D
UJUJUE,1.461,0.161285,33.7,0.076,1.59,4.49,2.823899371,1D
UJUPOG,0.924,0.563125,1269.56,0.621,4.18,6.21,1.485645933,1D
UKAJOH,1.355,0.23587,42.48,0.118,3.33,4.87,1.462462462,1D
UKAQOO,0.533,0.754956,2162.84,1.395,16.41,19.17,1.168190128,1D
UKASOO,1.535,0.16567,82.41,0.084,1.75,4.96,2.834285714,1D
UKAVUX,1.516,0.160272,4.4,0.058,2.52,4.12,1.634920635,1D
UKAZEM,0.789,0.74105,2456.29,0.944,8.46,10.64,1.257683215,1D
UKEBAP,0.839,0.582454,1935.21,0.655,6.95,7.64,1.099280576,1D
UKEMEC,1.15,0.196767,10.51,0.106,1.48,4.18,2.824324324,1D
UKEMUU,0.601,0.751691,3175.06,1.101,5.67,8.02,1.414462081,1D
UKETEK,2.179,0.324081,384.89,0.146,6.43,6.88,1.069984448,1D
UKEXIS,0.77,0.746973,2461.17,0.978,8.39,11.03,1.31466031,3D
UKICIB,2.405,0.395082,150.48,0.167,3.72,4.95,1.330645161,1D
UKIWUI,1.28,0.406392,290.63,0.256,2.33,4.99,2.141630901,2D
UKOVUM,1.296,0.322164,190.46,0.207,3.39,4.95,1.460176991,1D
UKUBEI,2.294,0.352194,214.31,0.113,4.37,5.27,1.205949657,1D
UKUBIM,1.092,0.499438,705.9,0.342,3.61,6.8,1.88365651,1D
UKUBUY,1.03,0.501743,687.47,0.361,3.52,6.84,1.943181818,1D
UKUCAF,1.056,0.502464,634.33,0.345,3.5,6.8,1.942857143,1D
UKUQAT,1.098,0.574165,898.9,0.446,5.05,6.65,1.316831683,1D
UKUSOK,1.287,0.227501,1.71,0.132,2.08,4.16,2,1D
ULABEQ,1.786,0.168013,0.31,0.062,1.04,4.17,4.009615385,1D
ULAFEU,1.099,0.472843,933.08,0.329,4.61,6.06,1.314533623,1D
ULAFUI,1.405,0.280945,44.3,0.154,2.04,4.37,2.142156863,1D
ULAGAP,1.464,0.245479,16.1,0.131,1.83,4.22,2.306010929,1D
ULAGIX,1.462,0.292037,51.09,0.161,3.31,4.42,1.335347432,1D
ULAGOD,1.36,0.325273,218.71,0.188,2.56,5.11,1.99609375,1D
ULANUR,1.522,0.299955,303.72,0.174,3.12,6.92,2.217948718,1D
ULAQAB,1.043,0.369439,183.02,0.296,3.25,4.91,1.510769231,1D
ULAQEF,1.028,0.363831,189.76,0.301,3.14,4.92,1.566878981,1D
ULAYEL,0.976,0.596622,1131.89,0.578,4.4,5.71,1.297727273,1D
ULIMOT,1.417,0.237269,23.85,0.129,3.06,4.33,1.41503268,1D
ULINAG,1.373,0.306658,45.69,0.165,3.03,4.28,1.412541254,1D
ULINEK,1.264,0.182177,1.02,0.095,2.38,4.06,1.705882353,1D
ULIXIY,1.308,0.255863,69.16,0.132,1.13,4.53,4.008849558,2D
ULOFOR,1.303,0.350663,1.07,0.202,3.19,4.14,1.297805643,1D
ULONAK,1.044,0.396812,484.43,0.288,3.41,6.1,1.788856305,1D
ULOXOK,0.88,0.476572,680.4,0.437,2.91,5.48,1.883161512,2D
ULUGAK,1.343,0.191948,23.48,0.096,2.11,4.52,2.142180095,3D
ULUKIV,1.397,0.21855,1.35,0.122,3.61,4.09,1.132963989,1D
ULUREY,0.786,0.567484,1887.74,0.713,7.71,8.81,1.142671855,2D
UMALOK,1.238,0.575616,442.59,0.311,3.67,5.55,1.51226158,2D
UMEVAK,1.527,0.359626,395.19,0.212,4.01,5.51,1.374064838,2D
UMEWOY,1.282,0.450948,211.76,0.367,2.85,4.87,1.70877193,3D
UMEXUF01,1.753,0.303512,142.71,0.142,3.83,4.73,1.234986945,1D
UMEXUF,1.759,0.31319,91.73,0.148,3.54,4.48,1.265536723,1D
UMEZUH,1.374,0.277926,260.74,0.157,3.89,4.58,1.177377892,1D
UMIDIF,2.103,0.149351,56.62,0.061,1.3,5.18,3.984615385,2D
UMIFIH,0.915,0.614311,1431.59,0.581,6.92,8.17,1.180635838,1D
UMIFON,1.053,0.420108,443.05,0.319,3.74,5.28,1.411764706,1D
UMIFUT,1.071,0.373482,548.41,0.298,3.53,5.89,1.668555241,1D
UMOCOO,1.262,0.339628,63.35,0.245,2.4,4.3,1.791666667,2D
UMOKOY,1.39,0.245725,13.56,0.129,3.18,4.24,1.333333333,1D
UMUXAC,2.752,0.145478,47.41,0.037,3.78,5.94,1.571428571,1D
UMUYEH,1.045,0.534169,1053.68,0.443,4.54,5.81,1.279735683,1D
UMUYIL,1.098,0.521737,715.51,0.403,3.77,5.02,1.331564987,1D
UMUYUY,1.27,0.366252,87.33,0.225,3.47,4.63,1.334293948,1D
UNABES,1.107,0.339758,200.19,0.242,2.57,5.13,1.996108949,3D
UNADET,0.573,0.70188,3423.08,1.067,5.38,7.86,1.460966543,1D
UNADIX,1.241,0.580595,714.54,0.401,3.62,6.64,1.834254144,2D
UNAFOF,1.445,0.164581,61.58,0.075,1.22,4.89,4.008196721,2D
UNAGOH,0.981,0.637587,1326.1,0.572,5.85,6.83,1.167521368,1D
UNAGUN,0.98,0.639909,1341.82,0.576,5.78,6.89,1.192041522,1D
UNAMAZ,1.667,0.158643,25.17,0.079,2.05,4.74,2.312195122,1D
UNAZIT,0.583,0.777855,3735.19,1.198,5.59,7.91,1.415026834,1D
UNEBIZ,1.242,0.159391,47.78,0.079,1.16,4.63,3.99137931,3D
UNEKEE,1.497,0.22683,40.84,0.133,1.77,4.48,2.531073446,2D
UNEKII,1.419,0.250134,49.39,0.132,1.82,4.6,2.527472527,1D
UNENEH,0.645,0.64991,2116.8,0.942,4.11,5.48,1.333333333,1D
UNENIL,0.539,0.747129,4117.71,1.314,5.95,7.34,1.233613445,1D
UNEQOU,0.965,0.459835,0.27,0.417,2.91,4.11,1.412371134,1D
UNINIQ,0.756,0.751911,2061.13,0.893,9.8,15.39,1.570408163,3D
UNINOW,0.746,0.752583,2089.78,0.913,9.77,15.26,1.561924258,3D
UNINUC01,0.756,0.752635,2066.56,0.896,9.75,15.33,1.572307692,3D
UNINUC,0.746,0.750206,2086.44,0.905,9.73,15.26,1.568345324,3D
UNIPEN,1.288,0.184027,1.12,0.073,1.74,4.02,2.310344828,1D
UNIPOY,0.756,0.75196,2058.48,0.894,9.81,15.45,1.574923547,3D
UNIQAK,1.276,0.256093,116.1,0.142,1.64,5.37,3.274390244,2D
UNIVET,2.18,0.11577,0.06,0.045,1.63,4.13,2.533742331,1D
UNIWAQ,1.791,0.329979,116.73,0.166,2.56,5.12,2,1D
UNIWIY,1.922,0.195155,45.25,0.067,1.52,4.95,3.256578947,1D
UNIWUK,1.644,0.338926,431.94,0.182,4.58,5.52,1.205240175,1D
UNOKAK,1.142,0.41497,46.3,0.276,2.77,4.73,1.707581227,2D
UNOSAT,1.113,0.433068,561.79,0.295,3.29,6.38,1.939209726,1D
UPIBOM,1.644,0.474366,514.83,0.238,5.17,5.63,1.088974855,1D
UPIMIQ,1.423,0.325646,242.62,0.186,3.52,4.98,1.414772727,2D
UPIXOH,1.428,0.2379,2.4,0.124,2.56,4.18,1.6328125,1D
UPIYOI,1.104,0.491579,812.04,0.396,3.99,5.04,1.263157895,1D
UPOTUP,1.844,0.101984,10.5,0.044,1.84,4.25,2.309782609,1D
UPOVOL,1.566,0.348871,7.05,0.172,2.11,4.22,2,3D
UPOZEG,1.011,0.530642,698.99,0.474,3.35,5.47,1.632835821,1D
UPOZIK,0.954,0.595527,1339.19,0.56,4.22,5.34,1.265402844,1D
UPOZOQ,1.172,0.354015,623.37,0.262,4.13,5.35,1.295399516,1D
UPUBEO,1.23,0.3353,65.52,0.197,1.43,4.67,3.265734266,2D
UPUGIW,1.357,0.164382,76.05,0.088,1.23,4.93,4.008130081,3D
UQASUB,1.745,0.110167,0.12,0.046,1.62,4.1,2.530864198,1D
UQATAI,1.78,0.114031,0.05,0.048,1.61,4.06,2.52173913,1D
UQAWOZ,1.26,0.260114,126,0.162,2.45,4.61,1.881632653,1D
UQAXAN,2.362,0.114538,0.19,0.041,0.72,4.06,5.638888889,NON-POROUS
UQEBOI,1.406,0.131099,5.84,0.064,2.91,4.41,1.515463918,1D
UQEFAZ,1.56,0.231104,22.71,0.091,3.63,4.37,1.203856749,1D
UQEFED,1.569,0.239327,60.98,0.095,3.39,4.52,1.333333333,1D
UQENUA,1.582,0.174383,111.39,0.075,1.39,5.56,4,2D
UQERIT,1.196,0.482503,141.64,0.292,3.19,4.52,1.4169279,3D
UQETIU,2.326,0.135719,7.69,0.056,2.13,4.27,2.004694836,1D
UQIWIC,1.349,0.27792,143.4,0.14,1.69,4.77,2.822485207,1D
UQOCOU,1.45,0.08482,3.81,0.037,1.51,4.26,2.821192053,2D
UQOGAK,1.218,0.369432,116.19,0.229,1.47,4.8,3.265306122,1D
UQOMOD,0.837,0.571206,1886.77,0.634,6.91,7.81,1.13024602,1D
UQUCUG,1.545,0.251316,33.7,0.1,3.06,4.47,1.460784314,1D
UQUGIX,1.027,0.495254,459.4,0.448,3.57,4.77,1.336134454,1D
UQULAU,1.264,0.140024,0.78,0.053,1.43,4.03,2.818181818,2D
UQUTEH,0.924,0.564741,1285.01,0.578,4.31,5.45,1.26450116,1D
UQUTUX,1.739,0.097867,6.38,0.029,1.36,4.44,3.264705882,3D
UQUZUC,1.66,0.230153,44.37,0.116,1.8,4.54,2.522222222,2D
URAREM,1.399,0.181256,0.38,0.089,2.97,4.07,1.37037037,1D
URIPIV,1.365,0.192676,77.74,0.115,3.92,4.62,1.178571429,1D
URONEW,2.576,0.102607,9.88,0.025,2.43,4.58,1.884773663,1D
URUJUN,1.472,0.279871,72.78,0.145,2.97,4.66,1.569023569,1D
USABOH,1.271,0.567693,1146.41,0.424,7.4,8.1,1.094594595,1D
USAGOM,1.778,0.168323,11.8,0.087,3.2,4.26,1.33125,1D
USAMOS,1.287,0.228335,149.62,0.127,1.74,5.69,3.270114943,1D
USAYOE,1.376,0.26878,99.56,0.142,2.25,5.2,2.311111111,2D
USEDUS,1.3,0.261959,168.1,0.14,1.26,5.06,4.015873016,1D
USOREB,1.161,0.376741,246.25,0.251,2.56,5.68,2.21875,1D
USORUR,0.921,0.558087,1425,0.52,4.73,5.98,1.264270613,2D
USOXEH,1.352,0.205973,44.86,0.109,1.39,4.52,3.251798561,1D
USUBUG,1.137,0.533424,815.51,0.442,4.65,5.06,1.088172043,2D
USUNIH,1.735,0.13691,6.05,0.056,1.29,4.2,3.255813953,3D
USUVIP,1.321,0.411298,610.29,0.258,4.33,7.56,1.74595843,2D
USUWUC,1.582,0.645193,803.36,0.328,5.48,6.33,1.155109489,1D
UTACID,1.266,0.354461,528.22,0.257,2.16,9.23,4.273148148,3D
UTACOJ,1.102,0.577116,1262.06,0.5,7.97,9.62,1.207026349,1D
UTACUP,1.325,0.282817,216.09,0.189,3.01,5.67,1.88372093,3D
UTADIE,1.853,0.274846,137.88,0.132,1.88,4.77,2.537234043,1D
UTADOK,1.839,0.583622,31.92,0.28,3.37,4.26,1.264094955,3D
UTELIQ,1.147,0.229977,54.45,0.132,2,5.07,2.535,1D
UTELUC,1.08,0.336927,332.23,0.229,4.81,5.45,1.133056133,1D
UTEMAJ,0.957,0.405388,467.33,0.336,3.45,6.5,1.884057971,1D
UTIZUT,0.853,0.635973,1643.64,0.655,4.52,6.83,1.511061947,1D
UTODIR,1.294,0.198186,1.98,0.11,2.63,4.12,1.566539924,2D
UTOTIH,1.798,0.066199,4.52,0.022,1.39,4.55,3.273381295,3D
