,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
6775,LIQJEC,2013,0.668,0.818308,3318.05,3351.26,1.165,1.166,8.14,11.37,1.396805897,1D,[0.6 - 0.8),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[10.0-72.0],[8.0-72.0],[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIQJEC
6776,LIQROU,2013,1.634,0.129297,24.25,0,0.054,0,1.47,4.81,3.272108844,2D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIQROU
6777,LISJII,2013,1.595,0.211333,60.59,0,0.1,0,3.24,4.73,1.459876543,1D,[1.5 - 1.6),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LISJII
6778,MAZSUD,2013,1.156,0.532251,385.42,291.01,0.401,0.384,3.31,5.2,1.570996979,3D,[1.1 - 1.2),[0.5 - 0.6),[300 - 400),[200-300),[0.4 - 0.5),[0.3-0.4),[3.3-3.6),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAZSUD
6779,MEVYIX,2013,1.209,0.327397,447.68,445.29,0.21,0.206,4.59,6.03,1.31372549,1D,[1.2 - 1.3),[0.3 - 0.4),[400 - 500),[400-500),[0.2 - 0.3),[0.2-0.3),[4.5-5.0),[6.0-6.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEVYIX
6780,MEWBEX,2013,1.049,0.437101,251.6,0,0.326,0,3.24,5.08,1.567901235,1D,[1.0 - 1.1),[0.4 - 0.5),[200 - 300),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[3.0-3.3),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEWBEX
6781,MEXHUU,2013,1.395,0.25446,0.46,0,0.133,0,2.97,4.08,1.373737374,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEXHUU
6782,MEXYUL,2013,1.166,0.476232,29.67,0,0.291,0,3.08,4.22,1.37012987,1D,[1.1 - 1.2),[0.4 - 0.5),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEXYUL
6783,MEYJEH,2013,1.503,0.149258,0.4,0,0.069,0,1.02,4.09,4.009803922,2D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEYJEH
6784,MIBQAR01,2013,0.59,0.821324,3406.33,3452.67,1.312,1.317,7.81,15.04,1.925736236,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR01
6785,MIBQAR02,2013,0.59,0.821758,3405.78,3448.8,1.308,1.308,7.8,15.03,1.926923077,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR02
6786,MIBQAR03,2013,0.591,0.821215,3399.19,3444.65,1.306,1.311,7.81,15.04,1.925736236,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR03
6787,MIBQAR04,2013,0.591,0.822145,3400.89,3446.52,1.309,1.308,7.8,15.03,1.926923077,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR04
6788,MIBQAR05,2013,0.592,0.82277,3396.92,3443.02,1.306,1.305,7.79,15.01,1.926829268,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR05
6789,MIBQAR06,2013,0.592,0.823792,3402.93,3443.09,1.304,1.308,7.79,15.01,1.926829268,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR06
6790,MIBQAR07,2013,0.593,0.823982,3400.74,3441.01,1.306,1.306,7.79,15,1.925545571,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR07
6791,MIBQAR08,2013,0.593,0.825147,3409.74,3438.94,1.298,1.305,7.78,14.99,1.926735219,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR08
6792,MIBQAR09,2013,0.594,0.824826,3404.96,3437.55,1.303,1.303,7.78,14.99,1.926735219,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR09
6793,MIBQAR10,2013,0.594,0.826117,3409.1,3431.5,1.304,1.306,7.78,14.99,1.926735219,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR10
6794,MIBQAR11,2013,0.595,0.82638,3404.8,3433.94,1.301,1.303,7.77,14.97,1.926640927,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR11
6795,MIBQAR12,2013,0.595,0.826316,3402.08,3429.28,1.298,1.3,7.77,14.97,1.926640927,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR12
6796,MIBQAR13,2013,0.595,0.826807,3404.03,3428.19,1.305,1.301,7.75,14.93,1.926451613,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR13
6797,MIBQAR14,2013,0.596,0.82743,3398.38,3426.49,1.303,1.301,7.75,14.93,1.926451613,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR14
6798,MIBQAR15,2013,0.596,0.827534,3395.65,3425.52,1.304,1.295,7.75,14.93,1.926451613,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR15
6799,MIBQAR16,2013,0.597,0.82728,3392.76,3420.34,1.299,1.299,7.75,14.94,1.927741935,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR16
6800,MIBQAR17,2013,0.597,0.82834,3391.84,3423.12,1.303,1.303,7.8,14.92,1.912820513,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR17
6801,MIBQAR,2013,0.589,0.820262,3406.59,3448.83,1.312,1.314,7.82,15.06,1.925831202,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR
6802,MIBQAR18,2013,0.598,0.828487,3391.16,3421.38,1.302,1.296,7.8,14.92,1.912820513,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR18
6803,MIBQAR19,2013,0.598,0.828153,3381.39,3415.57,1.292,1.296,7.82,14.95,1.911764706,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR19
6804,MIBQAR20,2013,0.598,0.828186,3385.36,3410.74,1.296,1.293,7.81,14.94,1.912932138,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIBQAR20
6805,MICCUY,2013,1.427,0.241704,214.17,179.22,0.129,0.109,4.52,5.58,1.234513274,1D,[1.4 - 1.5),[0.2 - 0.3),[200 - 300),[100-200),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MICCUY
6806,MICYII,2013,1.633,0.084276,1.98,0,0.037,0,1.83,4.22,2.306010929,1D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MICYII
6807,MIDCAF,2013,0.878,0.580721,1561.63,1555.22,0.6,0.597,9.57,10.33,1.079414838,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIDCAF
6808,MIFHUG,2013,1.093,0.427441,430.75,0,0.322,0,2.45,5.91,2.412244898,1D,[1.0 - 1.1),[0.4 - 0.5),[400 - 500),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.2-2.6),[5.6-6.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIFHUG
6809,MIFMIZ,2013,1.158,0.394089,210.14,199.51,0.253,0.247,4.16,4.9,1.177884615,1D,[1.1 - 1.2),[0.3 - 0.4),[200 - 300),[100-200),[0.2 - 0.3),[0.2-0.3),[4.0-4.5),[4.8-5.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIFMIZ
6810,MIGFEP,2013,1.23,0.245935,49.18,0,0.13,0,1.72,4.34,2.523255814,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIGFEP
6811,MIGPOJ,2013,1.923,0.390126,139.99,138.11,0.174,0.169,3.68,4.9,1.331521739,1D,[1.8 - 2.0),[0.3 - 0.4),[100 - 150),[100-200),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIGPOJ
6812,MIGQIE,2013,1.522,0.629136,1574.82,1579.58,0.415,0.413,5.23,6.38,1.219885277,2D,[1.5 - 1.6),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.4 - 0.5),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIGQIE
6813,MIGQOK,2013,1.336,0.598962,1207.2,1207.95,0.436,0.435,6.25,7.54,1.2064,1D,[1.3 - 1.4),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIGQOK
6814,MIHKIZ,2013,1.298,0.360012,129.5,23.64,0.216,0.121,3.33,4.57,1.372372372,1D,[1.2 - 1.3),[0.3 - 0.4),[100 - 150),[0.05-50),[0.2 - 0.3),[0.1-0.2),[3.3-3.6),[4.5-4.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIHKIZ
6815,MIJSAB,2013,0.944,0.388793,95.07,0,0.356,0,3.09,4.52,1.462783172,1D,[0.8 - 1.0),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIJSAB
6816,MIJSEF,2013,2.356,0.249272,27.13,27.87,0.076,0.075,3.82,4.23,1.107329843,1D,[2.0 - 7.0],[0.2 - 0.3),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[3.8-4.0),[4.2-4.3),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIJSEF
6817,MIJWEJ,2013,1.26,0.209715,31.44,0,0.129,0,1.56,4.41,2.826923077,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIJWEJ
6818,MIJWOT,2013,1.146,0.231688,80.98,0,0.152,0,1.45,4.75,3.275862069,1D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIJWOT
6819,MIKBEP,2013,1.374,0.19411,20.15,0,0.076,0,1.59,4.49,2.823899371,2D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIKBEP
6820,MIKHUL,2013,1.403,0.128386,0.8,0,0.055,0,1.61,4.08,2.534161491,2D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIKHUL
6821,MIKPED,2013,1.061,0.282311,320.91,0,0.205,0,2.5,5.35,2.14,1D,[1.0 - 1.1),[0.2 - 0.3),[300 - 400),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[5.3-5.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIKPED
6822,MILQUV,2013,0.733,0.59127,1470.96,1419.27,0.651,0.6,3.7,8.92,2.410810811,2D,[0.6 - 0.8),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[3.6-3.8),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MILQUV
6823,MILRAC,2013,0.722,0.601776,1476.69,1461.26,0.681,0.623,3.73,8.99,2.410187668,1D,[0.6 - 0.8),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[3.6-3.8),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MILRAC
6824,MILROQ,2013,0.575,0.77423,2822.53,2768.12,1.258,1.253,10.36,19.4,1.872586873,1D,[0.0 - 0.6),[0.7 - 0.8),[2000 - 3000),[2000-3000),[1.0 - 1.5),[1.25-1.5),[10.0-72.0],[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MILROQ
6825,MILXAI,2013,3.945,0.09568,7.45,0,0.024,0,3.12,4.72,1.512820513,1D,[2.0 - 7.0],[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MILXAI
6826,MIMMEC,2013,0.997,0.441235,944.48,942.87,0.388,0.388,6.11,6.99,1.144026187,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[6.0-8.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIMMEC
6827,MIMSOS,2013,0.985,0.544987,1003.13,976.82,0.447,0.446,9.45,10.92,1.155555556,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[800-1000),[0.4 - 0.5),[0.4-0.5),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIMSOS
6828,MIMSUY,2013,0.974,0.554537,1018.68,1025.52,0.452,0.453,10.6,10.94,1.032075472,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIMSUY
6829,MINGAT,2013,1.373,0.245495,10.92,0,0.13,0,2.62,4.28,1.633587786,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MINGAT
6830,MIPMOP,2013,1.206,0.433874,454.57,0,0.281,0,3.26,5.98,1.834355828,1D,[1.2 - 1.3),[0.4 - 0.5),[400 - 500),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[5.6-6.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIPMOP
6831,MIPNEG,2013,1.316,0.405692,242.24,244.3,0.241,0.24,3.48,4.92,1.413793103,2D,[1.3 - 1.4),[0.4 - 0.5),[200 - 300),[200-300),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIPNEG
6832,MIPNIK,2013,1.262,0.46032,427.63,428.38,0.273,0.27,3.65,5.34,1.463013699,2D,[1.2 - 1.3),[0.4 - 0.5),[400 - 500),[400-500),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[5.3-5.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIPNIK
6833,MIPPEI,2013,1.797,0.209384,16.06,0,0.084,0,1.11,4.45,4.009009009,3D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIPPEI
6834,MIPQAF,2013,1.57,0.185051,21.18,0,0.075,0,2.38,4.48,1.882352941,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.4-4.5),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIPQAF
6835,NEJYIM,2013,1.308,0.220689,146.6,145.13,0.119,0.118,3.56,5.2,1.460674157,1D,[1.3 - 1.4),[0.2 - 0.3),[100 - 150),[100-200),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEJYIM
6836,NEJZEJ,2013,1.414,0.252254,108.17,0,0.147,0,1.72,4.85,2.819767442,2D,[1.4 - 1.5),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEJZEJ
6837,NEKTEE,2013,1.229,0.259815,21.44,0,0.144,0,1.33,4.35,3.270676692,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEKTEE
6838,NENBUF,2013,0.845,0.604185,1716.17,1726.54,0.629,0.627,7.59,8.91,1.173913043,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NENBUF
6839,NEPDAP,2013,1.397,0.213393,25.09,0,0.137,0,3.01,4.4,1.46179402,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEPDAP
6840,NERCEU,2013,1.432,0.228797,76.08,0,0.117,0,1.81,4.58,2.53038674,3D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NERCEU
6841,NESDOG,2013,0.837,0.557753,1040.77,1048.51,0.61,0.575,3.81,6.22,1.632545932,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.6 - 0.8),[0.5-0.6),[3.8-4.0),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NESDOG
6842,NESHEA,2013,1.705,0.071905,7.82,0,0.037,0,1.08,4.34,4.018518519,3D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NESHEA
6843,NESHOK,2013,0.881,0.565963,1539.91,1512.21,0.625,0.62,9.79,10.97,1.120531154,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NESHOK
6844,NETSIQ,2013,1.708,0.180237,2.55,0,0.08,0,2.68,4.21,1.570895522,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NETSIQ
6845,NEVJEF,2013,1.698,0.269191,98.39,91.52,0.133,0.118,3.29,4.81,1.462006079,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.0-3.3),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEVJEF
6846,NEVVAM01,2013,1.423,0.491807,696.55,684.44,0.286,0.286,5.34,6.84,1.280898876,1D,[1.4 - 1.5),[0.4 - 0.5),[600 - 800),[600-800),[0.2 - 0.3),[0.2-0.3),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEVVAM01
6847,NEVVAM02,2013,1.423,0.486737,691.76,589.4,0.284,0.272,5.47,6.75,1.234003656,1D,[1.4 - 1.5),[0.4 - 0.5),[600 - 800),[500-600),[0.2 - 0.3),[0.2-0.3),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEVVAM02
6848,NEVVER,2013,1.273,0.256585,88.59,0,0.123,0,2.53,5.4,2.134387352,2D,[1.2 - 1.3),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[5.3-5.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEVVER
6849,NEVVIU01,2013,1.463,0.458995,602.76,605.95,0.262,0.264,5.23,6.17,1.179732314,1D,[1.4 - 1.5),[0.4 - 0.5),[600 - 800),[600-800),[0.2 - 0.3),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEVVIU01
6850,NEVVIU02,2013,1.457,0.465243,621.42,569.82,0.268,0.258,5.29,6.24,1.179584121,1D,[1.4 - 1.5),[0.4 - 0.5),[600 - 800),[500-600),[0.2 - 0.3),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEVVIU02
6851,NEVVIV,2013,1.369,0.145641,2.7,0,0.083,0,2.23,4.21,1.887892377,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEVVIV
