Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
ELEDUV,56068.813,16883.264,0.5,0.793899,4481.71,1.465,6.78,9.83,1D
ELEFOR,27794.869,10538.88,0.63,0.685765,2455.88,1.019,8.53,9.04,1D
ELELEN,49359.701,59155.38,1.99,0.085501,0.59,0.035,1.03,4.11,3D
ELEMUE,26346.349,11025.696,0.695,0.637803,2660.4,0.834,7.29,8.65,1D
ELESET,42565.169,21136.824,0.825,0.588903,1612.43,0.597,4.79,6.78,1D
ELESUJ,39764.398,35783.597,1.494,0.472692,409.61,0.254,2.98,5.62,1D
ELESUK,26559.197,24365.088,1.523,0.17846,16.03,0.071,2.11,4.21,1D
ELEWEY,48349.272,89856.828,3.086,0.338788,358.36,0.11,5.34,7.68,1D
ELINET,32486.856,15217.956,0.778,0.590213,2396.21,0.684,4.47,5.52,1D
ELOGUJ,28272.715,54959.104,3.228,0.272827,31.64,0.079,2.55,5.09,1D
ELORED,42657.992,41470.92,1.614,0.224895,17.41,0.106,2.5,4.26,1D
ELOTEF,30266.93,19329.984,1.061,0.394324,645.59,0.344,3.88,5.04,2D
ELUBAO,27178.569,24995.776,1.527,0.135971,13.65,0.064,1.67,4.24,1D
EMAFIJ,30024.415,19327.59,1.069,0.437613,848.79,0.359,4.7,5.54,1D
EMAFOP,30123.221,18898.065,1.042,0.427687,856.85,0.359,4.66,5.5,1D
EMAFUU,55490.155,66141.288,1.979,0.119709,7.73,0.044,1.16,4.65,3D
EMAHIK,52398.854,66002.765,2.092,0.277476,281.52,0.112,6.85,7.01,1D
EMAJIL,27225.476,24106.896,1.47,0.441697,201.78,0.222,3.72,4.71,1D
EMAMIQ,27423.588,20097.936,1.217,0.202201,197.41,0.131,4.43,5.23,1D
EMAMOW,27155.421,20001.936,1.223,0.226964,291.22,0.152,4.93,5.7,1D
EMAMUC,24965.972,20098.608,1.337,0.159107,92.64,0.097,4.06,4.43,1D
EMAPOZ,41696.096,15207.804,0.606,0.714902,3615.79,1.09,6.88,7.87,1D
EMARER,55488.306,31496.832,0.943,0.477385,1176.08,0.48,4.08,5.29,1D
EMAXOH,32949.181,20446.068,1.03,0.456946,597.62,0.352,4.35,6.24,1D
EMEJAJ,35373.875,18635.292,0.875,0.608587,1531.8,0.6,7.16,7.87,1D
EMEJIQ,32685.691,32629.587,1.658,0.187977,43.22,0.076,2.16,4.63,1D
EMEPER01,35360.462,20116.8,0.945,0.391766,107.26,0.379,3.06,4.47,2D
EMEPER,35702.968,20116.8,0.936,0.388196,120.62,0.381,3.09,4.51,2D
EMETUL,33181.93,27185.312,1.36,0.296909,124.53,0.177,2.25,4.81,1D
EMEZOM,46219.738,25218.509,0.906,0.642848,1309.69,0.629,4.92,6.66,1D
EMIVUT,32347.316,19059.048,0.978,0.461547,436.16,0.376,3.39,4.8,1D
EMODOB,34234.339,28349.824,1.375,0.172113,0.15,0.097,3.22,4.07,1D
EMOFIX,38679.888,29594.752,1.271,0.22912,0.77,0.107,2.8,4.09,1D
EMOGAQ,44012.967,35389.504,1.335,0.15311,2.44,0.083,3.3,4.17,1D
EMOHIZ,39173.411,29181.504,1.237,0.235608,11.65,0.135,2.99,4.23,1D
EMOSUW,27291.253,21785.674,1.326,0.24254,57.31,0.127,1.84,4.65,2D
EMUDAT,29635.114,35118.688,1.968,0.134878,5.45,0.043,1.06,4.22,3D
EMUFAT,32923.758,21130.776,1.066,0.331193,353.33,0.233,4.91,5.85,1D
EMUSAH,39065.339,20824.96,0.885,0.599988,1771.92,0.666,5.47,6.39,1D
EMUSEM,37922.657,27193.968,1.191,0.312742,109.54,0.209,2.92,4.58,1D
EMUTUD,36597.299,35270.496,1.6,0.442869,98.55,0.23,2.9,4.74,3D
EMUVAL,36587.089,35155.008,1.596,0.440287,102.56,0.231,2.88,4.71,3D
EMUVOX,40960.842,28913.04,1.172,0.230188,323.5,0.189,1.41,7.99,3D
EMUVUD,40059.142,32337.252,1.34,0.215746,119.73,0.156,3.7,4.94,1D
ENAFAB,25821.475,41833.512,2.69,0.36026,301.92,0.136,2.7,11.55,3D
ENANIS,39324.904,31650.336,1.336,0.324051,42.55,0.175,2.94,4.45,1D
ENAPAL,28565.141,13550.436,0.788,0.631229,2285.96,0.761,6.9,8.14,1D
ENAPOZ,36187.213,31646.848,1.452,0.144711,3.72,0.083,1.29,4.2,1D
ENECOQ,53339.709,72821.376,2.267,0.262437,188.06,0.116,2.07,5.87,1D
ENEHAH01,66235.943,56173.68,1.408,0.175592,98.79,0.079,1.65,5.4,3D
ENEQOF,66915.501,36329.58,0.902,0.549345,1217.57,0.495,6.41,7.57,1D
ENETEY,34412.918,78166.805,3.772,0.195386,19.04,0.059,2.3,4.92,1D
ENETIA,25553.068,17038.032,1.107,0.234255,54.61,0.145,2.94,4.62,1D
ENETOH,32933.891,15226.596,0.768,0.587217,2450.92,0.685,4.6,5.55,1D
ENEYUS,45215.876,35080.81,1.288,0.291548,53.51,0.158,2.97,4.49,1D
ENEZAZ,25524.685,17540.405,1.141,0.391191,71.96,0.281,3.36,4.62,1D
ENIDIP,45527.577,9453.509,0.345,0.843515,6305.15,2.364,9.43,11.18,1D
ENIDOV,33225.285,6983.584,0.349,0.829848,7501.96,2.319,8.15,9.71,1D
ENUQEK,30978.036,24699.816,1.324,0.301598,5.74,0.161,3.2,4.16,1D
EPAXUQ,25722.241,15755.984,1.017,0.223854,5.7,0.159,2.49,4.25,1D
EPAYAX,25950.308,15863.136,1.015,0.220096,3.66,0.154,2.5,4.26,1D
EPAYOL,84260.32,50977.68,1.005,0.264042,173.83,0.198,3.36,5.08,1D
EPEGUD,27891.154,19106.72,1.138,0.436546,261.81,0.326,3.97,4.49,1D
EPELES,43824.51,25036.896,0.949,0.476719,430.81,0.392,3.24,5.29,1D
EPELUH,42903.051,35662.368,1.38,0.1422,7.33,0.066,1.05,4.19,3D
EPEXII,31050.826,27802.752,1.487,0.224254,24.6,0.114,2.07,4.42,2D
EPEXOO,63692.963,64572.528,1.683,0.129504,0.93,0.048,1.04,4.16,3D
EPEXUT,41238.842,28205.73,1.136,0.447988,598.41,0.307,3.9,5.2,1D
EPUMEJ,42520.933,34043.868,1.329,0.153331,4.83,0.085,1.03,4.1,1D
EPUMIN,43303.716,34043.868,1.305,0.173546,23.77,0.094,1.08,4.34,2D
EPUVAN,29213.55,16628.672,0.945,0.542785,727.13,0.444,3.87,5.95,1D
EPUWET,20429.004,10978.08,0.892,0.598396,2041.17,0.598,5.93,6.78,1D
EPUXET,47472.538,35867.2,1.255,0.257805,45.69,0.137,2.81,4.59,1D
EQEGOY,21467.219,13938.72,1.078,0.503377,772.26,0.424,4.09,5.05,1D
EQEHOY,44897.459,34587.2,1.279,0.173377,6.71,0.109,2.46,4.2,1D
EQEHUE,38433.526,22744.526,0.983,0.520629,671.93,0.471,3.72,5.26,1D
EQERAU,30269.29,16146.688,0.886,0.572544,1383.12,0.554,4.41,7.2,1D
EQEREY,65120.328,42492.8,1.084,0.522303,880.86,0.373,4.93,6.67,1D
EQERIC,36655.581,23902.2,1.083,0.539909,852.66,0.371,4.63,5.46,1D
EQICAK02,35842.932,15461.64,0.716,0.679573,3654.41,1.028,5.53,7.37,1D
EQICAK03,35867.012,15461.64,0.716,0.677522,3644.39,1.026,5.53,7.37,1D
EQICAK04,48948.828,20615.52,0.699,0.692126,4010.08,1.066,5.74,7.17,1D
EQICAK05,35754.635,15461.64,0.718,0.677986,3637.95,1.026,5.52,7.36,1D
EQICAK06,36161.82,15461.64,0.71,0.682661,3710.1,1.044,5.54,7.38,1D
EQICAK07,36952.267,15461.64,0.695,0.688828,3789.86,1.072,5.95,7.62,2D
EQICAK08,37103.79,15461.64,0.692,0.693126,3905.94,1.08,6.14,7.67,1D
EQOBUH,50313.045,37048.512,1.223,0.313097,41.67,0.217,2.17,4.33,2D
EQOCIW,26163.571,18524.256,1.176,0.360813,290.93,0.261,2.11,5.34,1D
EQOGUN,26686.091,10825.947,0.674,0.627064,2529.39,0.835,5.6,6.75,1D
EQOJUP,37626.313,13430.576,0.593,0.779909,3641.78,1.324,7.94,8.49,1D
EQOPEG,35273.71,41266.519,1.943,0.165039,0.08,0.062,2.25,4.02,1D
EQOXEN,48938.467,26823.924,0.91,0.439854,1032.13,0.401,7.77,9.26,1D
EQOXOZ,46833.311,46748.544,1.658,0.280099,7.66,0.113,3.09,4.24,2D
EQOXUF,46986.095,47416.829,1.676,0.286253,7.43,0.11,3.19,4.25,2D
EQOYAM,46894.323,47760,1.691,0.287249,7.78,0.111,3.18,4.24,2D
EQOYEQ,47123.433,47256,1.665,0.284628,7.65,0.116,3,4.24,2D
EQOYIS,34069.86,10876.23,0.53,0.780439,4028.35,1.392,7.46,8.48,1D
EQOZUG,43550.57,31305.487,1.194,0.385918,159.24,0.276,3.1,5.06,1D
EQUBAU,24888.121,21126.325,1.41,0.2345,105.4,0.127,1.38,5.5,1D
EQUPAH,27916.484,18329.328,1.09,0.342888,200.25,0.278,3.52,4.83,1D
ERAHOV,49497.975,28070.982,0.942,0.693843,2007.53,0.682,7.36,8.54,1D
ERAJEO,70795.856,49940.352,1.171,0.70209,1229.31,0.52,10.22,11.33,1D
ERAPAQ,36296.6,26586.016,1.216,0.362277,49.37,0.267,3.16,4.47,1D
ERAPEU,26236.497,13857.588,0.877,0.584811,885.75,0.624,3.42,5.36,1D
ERARUL01,52953.566,36782.592,1.153,0.555001,906.06,0.438,4.32,6.11,1D
ERARUL,53065.484,36782.592,1.151,0.553708,901.45,0.438,4.32,6.11,1D
ERAXEC,24289.302,15262.304,1.043,0.475568,28.73,0.403,3.5,4.32,1D
EREHEQ,32132.469,26565.419,1.373,0.128137,3.79,0.063,1.45,4.11,3D
ERELAP,31801.121,24881.832,1.299,0.251944,10.42,0.129,1.68,4.26,3D
ERELIX,49904.103,28303.434,0.942,0.697013,2007.99,0.688,7.32,8.55,1D
ERENAQ,44652.557,42616.53,1.585,0.276828,143.14,0.138,1.72,4.87,2D
ERETOL,28878.286,20124.8,1.157,0.443508,506.04,0.307,3.96,5.69,1D
EREVON,46065.423,42518.4,1.533,0.117532,0.47,0.054,1.45,4.11,2D
ERIBEN,60097.796,12929.04,0.357,0.816281,3993.63,2.184,14.49,15.42,1D
ERIGER,27274.06,21757.151,1.325,0.305353,350.51,0.189,4.18,6.98,1D
ERIHOC,40141.997,33474.038,1.385,0.299712,147.56,0.169,2.59,4.63,1D
ERIJAR,29624.76,10560.192,0.592,0.643498,3422.72,1.023,6.42,7.27,1D
EROCIZ,57440.386,52437.824,1.516,0.233314,60.87,0.102,3.16,4.78,2D
EROJUS02,78830.909,65361.6,1.377,0.302879,18.91,0.137,2.88,4.36,1D
EROJUS04,78264.061,65361.6,1.387,0.301333,1.41,0.133,2.82,4.12,1D
EROXEQ,32292.384,24400.022,1.255,0.258188,32.6,0.164,3.13,4.29,1D
EROYUF,28482.731,26069.088,1.52,0.119414,1.14,0.056,2.03,4.06,1D
EROZAM,51369.676,37973.088,1.227,0.295352,87.14,0.177,1.6,4.52,2D
ERUNIQ,29758.378,25656.32,1.432,0.360209,172.79,0.171,2.44,5.22,3D
ERUZOI,26038.202,28522.224,1.819,0.166939,6.52,0.07,1.31,4.27,1D
ESANOD,28152.593,23392.022,1.38,0.276641,84.59,0.15,2.76,4.51,1D
ESANUJ,37914.651,29461.363,1.29,0.354757,71.72,0.211,2.19,4.38,1D
ESAREX,34593.724,22196.4,1.065,0.449625,511.37,0.328,3.6,5.26,2D
ESAROH,45310.893,37287.456,1.366,0.225966,80.33,0.127,3.48,4.4,1D
ESARUN,44196.213,33510.348,1.259,0.293706,110.34,0.171,3.49,4.79,1D
ESATOI,49984.15,35604.691,1.183,0.458318,166.03,0.309,3.64,4.6,1D
ESATUO,28470.962,18212.263,1.062,0.470013,841.98,0.385,4.42,7.08,2D
ESAVOJ,48160.022,39113.136,1.349,0.302204,220.57,0.179,2.45,4.91,1D
ESEDAJ,29397.109,21912.96,1.238,0.424705,148.85,0.248,3.8,4.48,1D
ESEDIQ,47156.671,23682.72,0.834,0.594417,331.32,0.63,3.29,5.16,3D
ESEDUB,27964.145,19240.762,1.143,0.38029,103.16,0.265,2.71,4.62,2D
ESEHEP,30367.896,21804.66,1.192,0.363403,189.34,0.268,3.63,5.14,1D
ESEHIV,41757.244,32203.494,1.281,0.349361,222.4,0.187,3.52,4.82,1D
ESEMIA,45120.863,39349.696,1.448,0.278839,69.79,0.135,2.14,4.95,1D
ESEQAU,44425.261,29836.896,1.115,0.334344,80.85,0.209,2.57,4.6,2D
ESETIF,25621.201,22269.197,1.443,0.261547,16.63,0.141,1.83,4.22,1D
ESETOL,36063.132,31316.058,1.442,0.33403,264.48,0.183,3.99,4.51,1D
ESETUR,22134.503,12126.71,0.91,0.644129,1875.03,0.618,6.74,7.62,1D
ESIFIX,46723.516,40095.216,1.425,0.515856,673.86,0.302,4.36,8.35,1D
ESIGES01,22694.142,17522.208,1.282,0.530627,662.66,0.36,3.88,5.17,1D
ESIGES02,22641.532,17522.208,1.285,0.517348,590.94,0.351,3.94,5.12,1D
ESIGES,22553.034,17522.208,1.29,0.518208,604.72,0.35,3.92,5.09,1D
ESIPON,25094.853,7151.52,0.473,0.629485,4103.1,1.307,6.16,8.71,1D
ESIPUR02,42828.86,41569.792,1.612,0.132161,21.19,0.05,2.81,4.79,1D
ESIPUR,42657.034,41569.792,1.618,0.132657,22.98,0.048,2.68,4.79,1D
ESIYEM,64558.671,35642.496,0.917,0.664562,1611.71,0.638,5.92,8.18,1D
ESIZEM,46874.246,21578.508,0.764,0.660889,2717.45,0.778,5.6,6.91,1D
ESOHUP,45929.508,41411.232,1.497,0.272474,108.6,0.169,2.11,4.87,1D
ESOYUG,37494.725,21152.32,0.937,0.536316,1026.13,0.55,10.86,11.17,1D
ESOZUH,44153.318,16702.247,0.628,0.705594,2423.06,1.084,10.75,11.84,1D
ESUCIF01,49941.263,36884.268,1.226,0.237368,24.09,0.152,1.93,4.47,1D
ESUCIF,48649.322,36884.268,1.259,0.227128,18.08,0.141,1.77,4.47,2D
ESUCUR01,34391.905,25165.512,1.215,0.259784,77.16,0.174,1.9,4.81,1D
ESUCUR,50146.337,37748.268,1.25,0.246832,56.1,0.158,1.87,4.74,1D
ESUPOZ,41570.155,35332.608,1.411,0.295666,347.02,0.198,4.64,5.36,1D
ESUQUG,66589.535,53369.216,1.331,0.21583,34.81,0.111,1.42,4.63,3D
ESURER04,31117.614,25576.368,1.365,0.522905,763.09,0.311,5.84,6.89,1D
ESUSAO01,33391.067,32715.792,1.627,0.227418,8.37,0.108,1.33,4.35,1D
ESUSAO,33421.415,32715.792,1.625,0.229258,8.47,0.109,1.33,4.36,1D
ESUZAU,26692.737,22135.675,1.377,0.285302,135.14,0.153,2.65,4.51,1D
ETAKUG,30110.71,17946.048,0.99,0.553824,1081.59,0.593,3.91,5.71,1D
ETAMOC,36856.775,30382.336,1.369,0.170936,2.06,0.074,1.44,4.08,1D
ETAXAZ,45888.67,22760.703,0.824,0.571358,1301.09,0.577,4.84,5.58,1D
ETAZOO,37745.212,21597.552,0.95,0.413241,88.45,0.336,2.84,4.64,1D
ETCSBA,56522.544,52312.176,1.537,0.30871,151.54,0.152,2.07,4.77,1D
ETCSBC,50861.823,52312.176,1.708,0.145943,50.82,0.066,1.56,5.1,1D
ETDSCU,31321.019,19419.96,1.03,0.464079,1207.12,0.455,4.64,5.72,1D
ETECAJ,38641.806,59973.178,2.577,0.235655,0.13,0.064,2.4,4.09,1D
ETECIR,73873.191,64285.056,1.445,0.482978,19.56,0.269,3.27,4.24,1D
ETECOX,18251.115,16458.144,1.497,0.510302,28.27,0.266,3.24,4.32,1D
ETEDAJ,19836.479,13867.368,1.161,0.481526,130.62,0.323,3.1,4.52,1D
ETEDAK,25673.413,8973.024,0.58,0.757503,3648.06,1.345,7.85,9.16,1D
ETEJUJ,35843.289,31880.196,1.477,0.279509,191.32,0.138,1.91,5.4,2D
ETEKAQ,35732.035,32252.256,1.499,0.279048,186.09,0.135,1.89,5.35,2D
ETEKEU,35590.642,32792.742,1.53,0.273624,171.31,0.129,1.86,5.26,2D
ETICAN,24316.1,19527.804,1.334,0.30851,237,0.166,2.97,5.32,1D
ETIHEV,62132.946,51168.883,1.368,0.2122,10.77,0.1,1.86,4.3,2D
ETILAV,42620.695,34771.212,1.355,0.164022,8.13,0.075,1.26,4.13,3D
ETIXEM,42747.841,34137.408,1.326,0.210214,12.72,0.097,2.27,4.28,2D
ETOFAW,46823.676,23232.336,0.824,0.584008,1340.08,0.587,4.14,5.37,2D
ETOQOT,51147.359,39552.211,1.284,0.201421,29.61,0.107,2.06,4.41,2D
ETOYES,40649.807,31072.95,1.269,0.155337,12.61,0.086,2.85,4.17,1D
ETUBEC,25301.95,23209.968,1.523,0.182608,0.25,0.127,2.67,4.03,1D
ETUMEM,35961.788,33011.424,1.524,0.229762,86.14,0.115,2.03,5.14,1D
ETUPIT,25973.902,13773.456,0.881,0.471064,24.33,0.457,3.4,4.2,1D
ETUTUJ,32613.649,25177.856,1.282,0.292826,239.46,0.191,3.6,4.8,1D
ETUWEW,49906.785,49587.84,1.65,0.422529,339.16,0.267,3.83,4.62,2D
ETUWIA,48096.158,40738.45,1.407,0.42939,344.45,0.307,3.81,4.59,2D
ETUWOG,40019.024,37087.146,1.539,0.231493,0.43,0.116,1.76,4.08,3D
ETUZNT,24281.742,13739.688,0.94,0.571049,1033.27,0.556,3.94,5.11,2D
EVAXOO,36310.484,19524.996,0.893,0.553213,1306.8,0.524,5.6,6.53,1D
EVEGAN,30508.195,30472.848,1.659,0.192053,4.84,0.101,2.25,4.25,1D
EVEHUK,48650.243,37070.217,1.265,0.255276,17.57,0.115,3.31,4.41,1D
EVIKIF,26084.043,20751.832,1.321,0.209782,31,0.106,2.05,4.39,1D
EVINAZ,34570.74,19487.304,0.936,0.402904,480.99,0.368,3.35,5.06,1D
EVOFUS,25823.359,16083.04,1.034,0.356504,197.41,0.279,1.95,4.95,1D
EVOGAZ,26899.238,16531.04,1.02,0.375215,259.82,0.294,2.39,5.11,1D
EVOMAD,21788.035,16560.079,1.262,0.314898,76.25,0.18,2.45,4.63,2D
EVOMOR01,32758.96,24836.544,1.259,0.334187,54.05,0.192,1.9,4.38,1D
EVOMOR,32925.881,24836.544,1.253,0.334707,58.28,0.197,2.06,4.41,1D
EVONOS,32944.798,26342.856,1.328,0.482183,430.87,0.278,4.68,5.09,1D
EVOSOZ,31248.356,20824.488,1.107,0.564394,1449.49,0.468,6.31,7.53,1D
EVUNOY,23144.551,21033.696,1.509,0.27726,123.01,0.189,2.33,4.66,1D
EVUSOE,31544.356,18999.518,1,0.578824,1758.68,0.521,5.17,6.8,1D
EWAFAJ,64734.34,61565.722,1.579,0.122576,7.51,0.052,1.29,4.21,1D
EWASIG,28712.098,22499.208,1.301,0.381843,460.61,0.231,1.24,5.71,1D
EWAVII,62366.959,26144.064,0.696,0.514633,1621.27,0.663,4.07,7.28,1D
EWAWAB,46523.433,17429.376,0.622,0.52019,2134.83,0.771,4.32,7.72,1D
EWAXUV,56213.097,40682.368,1.202,0.266924,153.93,0.171,3.42,5.16,1D
EWAZEH,29392.063,22053.36,1.246,0.594586,1107.12,0.415,7.76,8.65,1D
EWAZUX01,43266.952,27299.616,1.048,0.575279,678.86,0.494,3.71,4.7,2D
EWAZUX,43315.338,27299.616,1.047,0.57713,695.28,0.493,3.72,4.7,2D
EWEBOY,71273.72,74222.848,1.729,0.181253,17,0.07,1.32,4.3,2D
EWEVAD,27174.999,22553.408,1.378,0.222551,1.87,0.11,1.02,4.06,1D
EWEVIL,27901.405,22553.408,1.342,0.228273,2.09,0.117,1.27,4.14,1D
EWEWUZ,38359.975,32175.885,1.393,0.38455,311.94,0.24,3.73,6.22,1D
EWEZAI,36863.144,24159.312,1.088,0.336703,95.62,0.265,3.19,4.51,1D
EWIHIC,49028.983,43789.68,1.483,0.353095,0.26,0.169,3.3,4.08,2D
EWIKAX03,35179.322,21591.864,1.019,0.249932,4.07,0.227,1.64,4.16,2D
EWIKAX04,36419.765,21591.864,0.984,0.249891,9.85,0.237,1.48,4.18,2D
EWIMON,46994.048,30811.392,1.089,0.396426,640.64,0.298,3.57,5.71,1D
EWOBAV,34097.951,27029.76,1.316,0.184774,68.44,0.1,2.67,4.78,1D
EWOPIR,49423.479,42231.584,1.419,0.150198,20.39,0.082,2.01,4.3,2D
EWOTAM,55426.935,32298.576,0.968,0.479767,784.63,0.427,4.09,5.7,1D
EWUCOP,31002.185,21281.328,1.14,0.554691,105.22,0.412,3.33,4.33,1D
EWUGEJ,33463.785,27627.151,1.371,0.509552,859.1,0.336,6.32,8.61,1D
EWUGIN,34673.179,27627.151,1.323,0.533579,1031.94,0.366,7.4,8.87,1D
EWULEO,53826.092,17307.216,0.534,0.715671,3614.23,1.22,6.72,8.66,1D
EWUTEV,36426.985,45296.32,2.065,0.227334,19.85,0.079,1.72,4.36,1D
EWUVID,62913.509,42950.096,1.134,0.381087,241.54,0.252,2.92,5.23,1D
EXABUB,28076.997,28695.04,1.697,0.194314,54.54,0.079,1.46,4.77,1D
EXABUC,24876.481,18949.44,1.265,0.441504,639.56,0.343,4.76,5.49,2D
EXACAI01,27889.57,28797.696,1.715,0.194633,52.45,0.077,1.18,4.74,3D
EXACAI,27959.46,28797.696,1.71,0.197268,52.78,0.079,1.19,4.76,3D
EXACEM,27501.84,29136,1.759,0.194315,44.2,0.075,1.16,4.65,3D
EXACIQ,27546.213,29243.219,1.763,0.195334,44.34,0.075,1.16,4.64,3D
EXACOW,27621.04,29472,1.772,0.195819,46.99,0.075,1.17,4.7,3D
EXACUC,27577.14,29627.539,1.784,0.195729,45.17,0.075,1.17,4.68,3D
EXADAJ,27282.156,29776.576,1.812,0.198227,43.76,0.073,1.16,4.65,3D
EXAJOE,36586.38,27477.072,1.247,0.203393,147.19,0.127,3.63,4.84,1D
EXALOF,56418.904,43239.456,1.273,0.324122,211.63,0.202,3.66,5.35,2D
EXAMIA,57473.73,42202.656,1.219,0.320884,271.62,0.213,4.03,5.37,2D
EXAMOG,57007.91,42480.72,1.237,0.31736,232.69,0.205,3.86,5.3,1D
EXAPEA,28638.82,24961.728,1.447,0.16797,44.12,0.091,3.37,4.93,1D
EXAROL,34129.188,19048.824,0.927,0.580256,2056.83,0.591,4.54,6.42,2D
EXAVIK,42500.945,29658.542,1.159,0.463987,608.1,0.344,3.94,5.26,1D
EXEHEV01,30845.769,16182.864,0.871,0.603006,1570.33,0.643,4.49,5.98,1D
EXEHEV02,30864.317,16182.864,0.871,0.599495,1559.42,0.647,4.48,5.98,1D
EXEHEV,30832.02,16182.864,0.872,0.601698,1551.65,0.638,4.42,5.98,1D
EXEMOK,39573.051,35213.779,1.478,0.295613,174.24,0.187,1.93,4.89,1D
EXEVUZ,46994.16,37693.728,1.332,0.272996,7.3,0.147,3.31,4.29,1D
EXIDIZ,37019.353,31587.84,1.417,0.165035,7.72,0.075,1.31,4.27,1D
EXIYIV,35080.917,16426.872,0.778,0.662712,1997.31,0.73,4.48,6.55,1D
EXOFIH,42954.341,35022.528,1.354,0.634813,192.95,0.343,3.89,4.31,1D
EXOXIZ,44168.99,41456.922,1.559,0.185072,2.11,0.08,1.92,4.11,2D
EXOZEX,43495.709,32784.48,1.252,0.368288,223.88,0.237,2.75,4.93,1D
EXUHEM,23165.067,16654.048,1.194,0.35587,286.42,0.224,3.53,5.16,1D
EXUHUC,64060.447,54924.624,1.424,0.271485,163.82,0.141,3.93,5.73,1D
EXUMUG,49569.965,21125.088,0.708,0.647185,2528.48,0.833,4.87,5.94,1D
EXUNAN,36615.32,20660.184,0.937,0.485787,397.96,0.438,3.33,4.86,1D
EXUNIW,68351.406,32381.696,0.787,0.715401,1756.12,0.848,11.38,12.2,1D
EXUNOC,68199.198,32720,0.797,0.707936,1768.26,0.822,11.69,12.38,1D
EXUNUI,67865.477,33360.576,0.816,0.704378,1717.8,0.804,11.55,12.27,1D
EXUPAQ,68115.814,32827.219,0.8,0.714726,1718.38,0.839,11.33,12.11,1D
EXUXOL,73150.337,48604.032,1.103,0.387745,304.52,0.28,2.78,5.24,3D
EXUXUR,62100.314,41386.144,1.107,0.352034,121.97,0.239,3.31,5.01,1D
EXUYAX,39677.413,24926.508,1.043,0.290718,35.61,0.132,2.8,4.57,2D
EXUYAY,33747.465,26447.776,1.301,0.34485,142.37,0.212,2.84,5.08,3D
EXUYIF,36244.447,21292.896,0.976,0.392308,313.58,0.318,3.51,4.97,1D
EYAFUH03,27875.597,15663.312,0.933,0.5896,1465.51,0.682,4.84,6.12,1D
EYAFUH05,27743.138,15663.312,0.938,0.586115,1433.77,0.678,4.87,6.09,1D
EYAGES,40419.91,12514.944,0.514,0.80799,2908.81,1.591,11.79,12.86,1D
EYAGIW,33915.028,17247.312,0.844,0.610725,1321.33,0.788,3.9,5.35,1D
EYAGOC,21920.452,14079.312,1.067,0.59063,1039.58,0.582,3.76,5.5,2D
EYAHOD01,32094.878,8623.656,0.446,0.809168,5223.96,1.864,9.62,11.5,1D
EYAHOD,32832.383,17247.312,0.872,0.596724,1188.59,0.742,4.3,4.97,2D
EYAHUJ01,61852.731,30661.888,0.823,0.6244,1862.97,0.831,4.19,6.23,1D
EYAHUJ02,63354.118,30661.888,0.804,0.636713,2052.17,0.858,4.37,6.27,1D
EYAJOE,34043.179,6694.728,0.327,0.840321,5797.4,2.549,9.74,11.99,2D
EYAJUL,38930.609,17247.312,0.736,0.669574,3116.36,0.968,4.52,6.72,1D
EYAKOG,40680.114,18772.416,0.766,0.715371,2916.56,0.949,6.52,7.69,1D
EYALIB,36651.686,15461.64,0.701,0.701007,3708.95,1.066,6.26,7.31,1D
EYEGOE,30575.694,23008.824,1.25,0.230288,1,0.123,1.77,4.1,3D
EYEGUK,22266.799,16011.216,1.194,0.326792,24.99,0.133,2.45,4.38,3D
EYEHAR,39972.052,26176.824,1.087,0.28881,4.52,0.197,2.76,4.17,1D
EYEYAJ,47526.97,37786.512,1.32,0.351017,313.68,0.198,4.21,5.2,1D
EYEYIR,31008.614,21955.056,1.176,0.412945,129.32,0.275,3.1,4.69,1D
EYIDEX,40421.327,46245.261,1.9,0.070953,7.47,0.022,1.13,4.51,2D
EYIPEI,32709.539,14794.956,0.751,0.670349,3010.99,0.931,5.26,7.68,1D
EYOJOT,81252.804,41816.352,0.855,0.612112,1345.6,0.636,4.04,6.6,1D
EYOWUL,43105.355,38288.045,1.475,0.367857,161.77,0.196,3.54,4.86,2D
EYOYEX,50782.128,38457.856,1.258,0.150926,38.32,0.073,1.37,4.49,3D
EYOYUO,28191.991,17946.048,1.057,0.507442,694.28,0.504,4.01,5.35,1D
EYULOA,45522.47,34656.224,1.264,0.33377,148.91,0.203,3.43,4.7,1D
EYUMAN,30298.086,14667.552,0.804,0.618995,1805.37,0.687,5.22,7.05,1D
EYUMER,27995.491,22001.328,1.305,0.2714,83.16,0.161,2.77,4.53,1D
EYUQIZ,36880.34,25412.263,1.144,0.271953,122.49,0.171,1.5,4.9,1D
EYUYIH,35726.878,31732.733,1.475,0.10053,1.37,0.044,1.27,4.13,3D
EYUYON,79353.513,48251.84,1.01,0.378984,646.58,0.301,1.88,8.05,1D
EYUZOO,27630.395,16284.996,0.979,0.432959,604.06,0.37,3.41,6.42,1D
EZAWIL,32349.301,26277.76,1.349,0.431132,577.01,0.332,3.98,5.47,1D
EZECAO,33611.829,22023.518,1.088,0.469113,97.23,0.365,3.18,4.36,1D
EZENAY,43824.359,32967.936,1.249,0.415383,227.16,0.247,3.12,5.57,2D
