Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
QAPNOL,2005,1.408,0.243519,19.48,0,0.117,0,2.1,4.2,2,2D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAPNOL
QAPPAZ,2005,1.266,0.163951,57.39,0,0.1,0,1.82,4.6,2.527472527,1D,[1.2 - 1.3),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAPPAZ
QAPPUT,2005,1.443,0.284148,11.53,0,0.146,0,1.97,4.22,2.14213198,2D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAPPUT
QAQBOA,2005,1.414,0.225948,15.65,0,0.112,0,1.32,4.32,3.272727273,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAQBOA
QAQGUL,2005,1.361,0.293666,107.17,0,0.172,0,1.49,4.86,3.261744966,1D,[1.3 - 1.4),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAQGUL
QAQHAS,2005,0.737,0.60035,1775,1753.56,0.726,0.727,4.37,5.75,1.315789474,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAQHAS
QAQHEW,2005,0.736,0.680574,2568.5,2551.59,0.851,0.852,6.77,8.3,1.225997046,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAQHEW
QAQKEZ,2005,0.508,0.813577,5103.48,5133.32,1.518,1.522,6.06,7.23,1.193069307,1D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.5 - 2.0),[1.5-2.0),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAQKEZ
QAQKID,2005,1.074,0.451648,737.26,741.68,0.391,0.385,4.03,5.09,1.263027295,1D,[1.0 - 1.1),[0.4 - 0.5),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAQKID
QAQKOJ,2005,1.079,0.466619,177.73,0,0.393,0,3.04,4.59,1.509868421,3D,[1.0 - 1.1),[0.4 - 0.5),[150 - 200),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAQKOJ
QARSEI01,2005,1.973,0.220065,10.92,9.92,0.091,0.074,3.5,4.23,1.208571429,1D,[1.8 - 2.0),[0.2 - 0.3),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QARSEI01
QASBIW,2005,1.63,0.120717,6.78,0,0.06,0,2.46,4.2,1.707317073,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QASBIW
QATPUX,2005,2.185,0.294731,1.19,1.22,0.112,0.112,3.71,4.12,1.110512129,1D,[2.0 - 7.0],[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.0-4.2),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QATPUX
RADWAV,2005,1.38,0.29863,121.99,0,0.157,0,2.84,4.64,1.633802817,1D,[1.3 - 1.4),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RADWAV
RADXEA,2005,1.376,0.2024,3.49,0,0.075,0,1.97,4.21,2.137055838,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RADXEA
RAFRAS,2005,0.897,0.617408,1847.79,1845.06,0.608,0.611,6.62,7.34,1.108761329,2D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAFRAS
RAHMAP,2005,1.349,0.420824,253.16,0,0.25,0,3.2,5.46,1.70625,1D,[1.3 - 1.4),[0.4 - 0.5),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAHMAP
RAKPEZ,2005,1.94,0.147015,6.9,0,0.042,0,2.81,4.1,1.459074733,1D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAKPEZ
RAKSUS,2005,1.332,0.509317,1150.88,1136.23,0.36,0.354,6.04,7.29,1.206953642,1D,[1.3 - 1.4),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.3 - 0.4),[0.3-0.4),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAKSUS
RALPOK,2005,0.887,0.576599,1688.95,1672.77,0.608,0.603,7.48,8.42,1.125668449,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RALPOK
RAMDOZ,2005,1.513,0.173798,33.44,0,0.083,0,1.11,4.43,3.990990991,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAMDOZ
RANYIP,2005,1.365,0.396399,116.35,0,0.229,0,3.08,4.5,1.461038961,1D,[1.3 - 1.4),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RANYIP
RANYOV,2005,1.41,0.292671,6.92,0,0.121,0,2.5,4.08,1.632,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RANYOV
RAPWEL,2005,1.376,0.199284,5.31,0,0.076,0,1.98,4.23,2.136363636,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAPWEL
RAQFUL,2005,0.904,0.522444,1254.58,1263.97,0.471,0.474,4.35,6.35,1.459770115,2D,[0.8 - 1.0),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.4 - 0.5),[0.4-0.5),[4.0-4.5),[6.0-6.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAQFUL
RAQMAY,2005,1.352,0.198444,7.41,0,0.095,0,1.31,4.27,3.259541985,3D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAQMAY
RARDIY,2005,1.844,0.222381,4.8,0,0.079,0,2.23,4.21,1.887892377,1D,[1.8 - 2.0),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RARDIY
RARYIT,2005,1.771,0.188036,17.61,0,0.092,0,1.4,4.58,3.271428571,2D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RARYIT
RASXEP,2005,2.607,0.08892,0.23,0,0.02,0,1.94,4.14,2.134020619,1D,[2.0 - 7.0],[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RASXEP
RAVMOR,2005,1.394,0.150281,56.58,0,0.065,0,1.22,4.9,4.016393443,3D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVMOR
RAVNAE,2005,0.746,0.489326,1128.57,1113.99,0.636,0.637,3.83,5.68,1.483028721,1D,[0.6 - 0.8),[0.4 - 0.5),[1000 - 1250),[1000-1500),[0.6 - 0.8),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVNAE
RAVVOA01,2005,1.84,0.253225,57.55,0,0.141,0,2.88,4.51,1.565972222,1D,[1.8 - 2.0),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVVOA01
RAVVOA,2005,1.845,0.252427,51.3,0,0.141,0,2.87,4.5,1.567944251,1D,[1.8 - 2.0),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVVOA
SAHMOE,2005,0.948,0.49079,801.59,622.26,0.397,0.341,3.54,6.87,1.940677966,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[600-800),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[6.5-7.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAHMOE
SAHYIK,2005,0.604,0.817926,3343.13,3331.67,1.268,1.273,7.65,14.85,1.941176471,3D,[0.6 - 0.8),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAHYIK
SAHYOQ02,2005,0.589,0.819545,3495.3,3425.24,1.31,1.312,7.75,14.93,1.926451613,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAHYOQ02
SAHYOQ,2005,0.589,0.819585,3422.47,3488.78,1.308,1.309,7.74,15.02,1.940568475,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAHYOQ
SAJBIP,2005,0.828,0.692444,2099.32,2076.8,0.826,0.827,5.7,6.8,1.192982456,1D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[5.0-6.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAJBIP
SAKSUT,2005,0.758,0.62843,2004.43,2008.53,0.789,0.784,6.42,7.65,1.191588785,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAKSUT
SAKVOQ,2005,1.34,0.231714,28.96,0,0.123,0,1.55,4.39,2.832258065,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAKVOQ
SAMNAW,2005,0.628,0.67624,2458.21,2451.79,0.94,0.939,6.75,8.19,1.213333333,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAMNAW
SANHOF,2005,0.772,0.71033,2695.72,2673.38,0.839,0.841,6.45,7.96,1.234108527,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SANHOF
SAQHOI,2005,1.443,0.155422,0.29,0.39,0.067,0.066,1.23,4.02,3.268292683,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQHOI
SAQNEE,2005,1.223,0.087789,0.09,0.09,0.039,0.04,1.59,4.03,2.534591195,1D,[1.2 - 1.3),[0.0 - 0.1),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQNEE
SAQQAD,2005,0.927,0.673801,1531.26,1514.42,0.617,0.616,8.81,10.01,1.136208854,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQQAD
SAQQEH,2005,0.942,0.675943,1500.43,1505.67,0.617,0.611,8.82,9.98,1.131519274,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQQEH
SAQQIL,2005,0.946,0.674507,1489.17,1488.96,0.609,0.606,8.85,10.01,1.131073446,1D,[0.8 - 1.0),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQQIL
SAQYUF,2005,1.419,0.432477,209.03,211.72,0.25,0.187,3.55,4.88,1.374647887,1D,[1.4 - 1.5),[0.4 - 0.5),[200 - 300),[200-300),[0.2 - 0.3),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQYUF
SARFOH,2005,0.854,0.625189,1834.87,1819.13,0.623,0.626,5.04,6.72,1.333333333,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARFOH
SARFUN,2005,0.789,0.582614,1613.67,1599.67,0.684,0.675,8.63,10.01,1.1599073,1D,[0.6 - 0.8),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARFUN
SARMOO,2005,1.531,0.281992,112.23,0,0.141,0,1.74,4.93,2.833333333,1D,[1.5 - 1.6),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARMOO
SARMUU,2005,1.64,0.291213,88.52,0,0.13,0,1.74,4.93,2.833333333,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARMUU
SARNEF,2005,1.283,0.33043,0.09,0,0.197,0,2.8,3.97,1.417857143,1D,[1.2 - 1.3),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),3.97,[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARNEF
SARTEL,2005,0.93,0.572536,973.26,952.02,0.495,0.469,4.32,5.93,1.372685185,1D,[0.8 - 1.0),[0.5 - 0.6),[800 - 1000),[800-1000),[0.4 - 0.5),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARTEL
SARTOV,2005,0.878,0.616731,1623.92,1613.86,0.57,0.54,5.12,6.83,1.333984375,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[5.0-6.0),[6.5-7.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARTOV
SASGAV,2005,1.451,0.166424,34.84,0,0.082,0,2.69,4.58,1.70260223,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SASGAV
TALJAS,2005,0.849,0.651411,1940.39,1933.8,0.683,0.683,7.12,8.4,1.179775281,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TALJAS
TANCIV,2005,1.574,0.109868,27.11,0,0.039,0,0.8,4.52,5.65,NON-POROUS,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.8,[4.5-4.6),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TANCIV
TANVIO,2005,1.19,0.34424,89.53,0,0.256,0,2.21,4.42,2,2D,[1.1 - 1.2),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TANVIO
TAPGAT,2005,1.322,0.139405,0.2,0,0.066,0,1.62,4.09,2.524691358,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAPGAT
TAPWIR,2005,0.932,0.356464,81.37,84.73,0.371,0.342,3.5,4.32,1.234285714,1D,[0.8 - 1.0),[0.3 - 0.4),[50 - 100),[50-100),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[4.3-4.4),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAPWIR
TAQJEB,2005,1.357,0.166609,23.45,0,0.088,0,1.09,4.36,4,2D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAQJEB
TAQXUF,2005,1.514,0.153906,8.71,0,0.102,0,1.8,4.15,2.305555556,2D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAQXUF
TARLII,2005,0.703,0.601475,2007.97,2045.56,0.789,0.79,7.64,8.77,1.147905759,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TARLII
TARXUG,2005,1.649,0.213995,46.4,0,0.098,0,2.44,4.37,1.790983607,1D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.3-4.4),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TARXUG
TATGUR,2005,1.038,0.547905,1795.63,1746.96,0.515,0.51,4.99,5.95,1.19238477,1D,[1.0 - 1.1),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[4.5-5.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TATGUR
TATHOM,2005,1.346,0.229741,96.02,0,0.137,0,2.85,4.65,1.631578947,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TATHOM
WAFKUK,2005,1.137,0.45456,589.62,588.7,0.32,0.323,3.88,6.62,1.706185567,1D,[1.1 - 1.2),[0.4 - 0.5),[500 - 600),[500-600),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[6.5-7.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAFKUK
WAFLAR,2005,1.43,0.254546,1.71,0,0.126,0,3.08,4.11,1.334415584,2D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAFLAR
WAFQAW,2005,1.089,0.359303,52.13,0,0.186,0,2.62,4.28,1.633587786,2D,[1.0 - 1.1),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAFQAW
WAJGAQ,2005,1.116,0.420489,243.42,238.87,0.316,0.3,3.53,5,1.416430595,3D,[1.1 - 1.2),[0.4 - 0.5),[200 - 300),[200-300),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAJGAQ
WAMMAZ,2005,1.363,0.267001,207.51,0,0.146,0,1.89,5.72,3.026455026,1D,[1.3 - 1.4),[0.2 - 0.3),[200 - 300),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.6-6.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAMMAZ
WANREJ,2005,1.458,0.302714,84.87,0,0.191,0,3.2,4.53,1.415625,1D,[1.4 - 1.5),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WANREJ
WAQPEK,2005,1.021,0.366418,161.59,0,0.29,0,2.32,4.65,2.004310345,1D,[1.0 - 1.1),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAQPEK
WARFEB,2005,0.975,0.580614,1538.44,1528.55,0.542,0.538,5.39,8.45,1.567717996,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[5.0-6.0),[8.0-10.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WARFEB
WARXIX,2005,0.867,0.550053,1859.67,1846.51,0.594,0.589,7.3,9.29,1.27260274,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WARXIX
WASLAE,2005,1.227,0.160503,1.13,0,0.088,0,1.44,4.07,2.826388889,1D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WASLAE
WASYIZ,2005,1.463,0.306681,14.48,0,0.165,0,1.89,4.36,2.306878307,1D,[1.4 - 1.5),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WASYIZ
WATGUU,2005,1.955,0.233703,9.83,9.54,0.12,0.121,3.37,4.16,1.234421365,1D,[1.8 - 2.0),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WATGUU
